~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 09:05 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1RCH_0001__SC_1RCH_0001__SC.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 07:48 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
DT US/F ----
GR GAPI ----
CALI IN ----
RHOB G/CC ----
NPHI FRAC ----
DRHO G/CC ----
ILD OHMM ----
SP MV ----
#-----------------------------------------------------------------------------
M M US/F GAPI IN G/CC FRAC G/CC OHMM MV
DEPT DEPT DT GR CALI RHOB NPHI DRHO ILD SP
~Ascii
3186.2268 3186.2268 58.9735 34.8717 9.1358 2.6329 0.0342 0.0961 -999.2500 -999.2500
3186.0744 3186.0744 58.9735 34.8717 9.1340 2.6313 0.0342 0.0941 -999.2500 -999.2500
3185.9220 3185.9220 58.9675 34.8717 9.0864 2.6376 0.0342 0.0913 -999.2500 -999.2500
3185.7696 3185.7696 58.8248 34.8717 9.0864 2.6288 0.0342 0.0933 -999.2500 -999.2500
3185.6172 3185.6172 58.7823 34.8717 9.0886 2.6242 0.0342 0.0947 -999.2500 -999.2500
3185.4648 3185.4648 58.8804 34.8717 9.1358 2.6062 0.0342 0.0819 -999.2500 -999.2500
3185.3124 3185.3124 58.9735 34.8717 9.1332 2.5709 0.0342 0.0566 -999.2500 -999.2500
3185.1600 3185.1600 58.9735 34.8717 9.0864 2.5885 0.0322 0.0473 -999.2500 -999.2500
3185.0076 3185.0076 58.9735 34.8717 9.0864 2.5973 0.0069 0.0519 -999.2500 -999.2500
3184.8552 3184.8552 58.9677 34.8717 9.0864 2.5840 -0.0019 0.0655 -999.2500 -999.2500
3184.7028 3184.7028 58.8786 34.8717 9.0894 2.5701 0.0003 0.0557 -999.2500 -999.2500
3184.5504 3184.5504 58.9277 34.8717 9.1358 2.5897 0.0088 0.0647 -999.2500 -999.2500
3184.3980 3184.3980 58.9735 34.8717 9.1325 2.6152 0.0214 0.0741 -999.2500 -999.2500
3184.2456 3184.2456 58.9631 34.8717 9.0864 2.6320 0.0329 0.0883 -999.2500 -999.2500
3184.0932 3184.0932 58.8338 34.8717 9.0899 2.6306 0.0396 0.1027 -999.2500 -999.2500
3183.9408 3183.9408 58.9282 34.8717 9.1321 2.6108 0.0447 0.0959 -999999.9999 -999999.9999
3183.7884 3183.7884 58.9735 34.8717 9.0903 2.5821 0.0483 0.0897 57.3540 32.7695
3183.6360 3183.6360 58.9735 34.8717 9.1319 2.5737 0.0501 0.0605 57.3540 33.0197
3183.4836 3183.4836 58.9735 34.8656 9.0864 2.5951 0.0512 0.0671 57.3540 33.2294
3183.3312 3183.3312 58.9735 34.8032 9.0906 2.6191 0.0517 0.0897 57.3540 33.0214
3183.1788 3183.1788 58.9735 34.8717 9.1358 2.6186 0.0523 0.0948 57.3540 33.2284
