Lito            Codigo        Depth(m)        GR            RHOB            DT                SP 
folhelho        57.0        4014.570        53.0000        2.492000        60.00000        38.00000
folhelho        57.0        4014.417        55.2000        2.499000        60.10000        38.40000
folhelho        57.0        4014.265        56.9000        2.497000        60.40000        39.40000
folhelho        57.0        4014.112        57.7000        2.491000        60.50000        40.50000
folhelho        57.0        4013.960        58.8000        2.494000        60.10000        40.10000
folhelho        57.0        4013.808        62.4000        2.513000        60.20000        39.80000
folhelho        57.0        4013.655        68.1000        2.540000        61.30000        40.10000
folhelho        57.0        4013.503        73.2000        2.557000        62.40000        40.80000
folhelho        57.0        4013.351        76.7000        2.545000        63.10000        40.70000
folhelho        57.0        4013.198        79.4000        2.504000        64.00000        40.70000
folhelho        57.0        4013.046        81.5000        2.457000        64.70000        41.50000
folhelho        57.0        4012.894        81.9000        2.443000        64.70000        42.90000
folhelho        57.0        4012.741        80.1000        2.481000        63.90001        42.60000
folhelho        57.0        4012.588        76.1000        2.555000        62.70000        43.20000
folhelho        57.0        4012.436        71.9000        2.627000        61.30000        43.10000
folhelho        57.0        4012.284        68.2000        2.659000        60.10000        43.60000
folhelho        57.0        4012.131        64.0000        2.648000        59.50000        43.50000
folhelho        57.0        4011.979        59.8000        2.614000        59.70000        43.30000
folhelho        57.0        4011.827        56.7000        2.574000        60.30000        43.60000
folhelho        57.0        4011.674        55.7000        2.536000        60.40000        42.80000
folhelho        57.0        4011.521        56.2000        2.506000        60.40000        43.20000
folhelho        57.0        4011.369        55.9000        2.485000        60.70000        44.00000
folhelho        57.0        4011.217        53.8000        2.469000        60.80000        44.00000
folhelho        57.0        4011.064        49.8000        2.458000        60.70000        43.10000
folhelho        57.0        4010.912        46.1000        2.459000        60.00000        42.50000
folhelho        57.0        4010.760        45.2000        2.476000        58.70000        43.00000
folhelho        57.0        4010.607        47.7000        2.501000        57.70000        42.60000
folhelho        57.0        4010.455        54.8000        2.522000        58.00000        42.30000
folhelho        57.0        4010.303        68.8000        2.532000        59.50000        43.00000
folhelho        57.0        4010.150        83.2000        2.538000        60.90000        42.90000
folhelho        57.0        4009.998        83.8000        2.551000        61.70000        43.90000
folhelho        57.0        4009.845        67.1000        2.571000        62.20000        43.10000
folhelho        57.0        4009.693        45.1000        2.590000        61.70000        42.40000
folhelho        57.0        4009.541        30.7000        2.598000        60.20000        42.10000
folhelho        57.0        4009.388        24.6000        2.595000        58.60000        41.20000
folhelho        57.0        4009.236        22.0000        2.589000        57.80000        41.00000
folhelho        57.0        4009.083        23.0000        2.586000        57.70000        40.00000
folhelho        57.0        4008.931        27.8000        2.583000        57.70000        39.00000
folhelho        57.0        4008.778        34.0000        2.578000        58.30000        38.60000
folhelho        57.0        4008.626        37.6000        2.568000        59.30000        37.40000
folhelho        57.0        4008.474        37.3000        2.554000        59.30000        36.70000
folhelho        57.0        4008.321        35.4000        2.541000        59.50000        34.70000
arenito         49.0        4008.169        34.7000        2.531000        59.30000        33.40000
arenito         49.0        4008.017        35.3000        2.529000        59.40000        31.50000
arenito     49.0        4007.864        36.0000        2.537000        59.80000        30.00000
arenito     49.0        4007.712        35.9000        2.550000        60.50000        27.80000
arenito     49.0        4007.559        36.5000        2.565000        60.90000        25.90000
arenito     49.0        4007.407        38.0000        2.576000        60.40000        24.80000
arenito     49.0        4007.254        40.8000        2.579000        59.50000        24.40000
arenito     49.0        4007.102        49.7000        2.577000        58.60000        24.10000
arenito     49.0        4006.950        66.6000        2.575000        58.60000        22.50000
arenito     49.0        4006.797        83.1000        2.577000        59.70000        22.10000
arenito     49.0        4006.645        89.2000        2.582000        61.20000        21.10000
arenito     49.0        4006.493        84.9000        2.585000        62.20000        20.10000
arenito     49.0        4006.340        80.2000        2.586000        62.40000        19.70000
arenito     49.0        4006.188        80.1000        2.588000        61.90000        19.20000
arenito     49.0        4006.035        83.0000        2.596000        60.70000        18.00000
arenito     49.0        4005.883        88.4000        2.610000        59.20000        17.60000
arenito     49.0        4005.730        97.3000        2.623000        58.20000        17.50000
arenito     49.0        4005.578        108.200 2.624000        57.70000        18.30000
arenito     49.0        4005.426        117.600 2.617000        57.70000        18.20000
arenito     49.0        4005.273        121.500 2.609000        58.50000        19.60000
arenito     49.0        4005.121        116.500 2.602000        59.00000        20.80000
arenito     49.0        4004.969        104.200 2.598000        59.20000        21.40000
arenito     49.0        4004.816        89.7000        2.593000        59.80000        23.00000
arenito     49.0        4004.664        78.1000        2.590000        60.20000        24.10000
arenito     49.0        4004.511        69.6000        2.595000        60.10000        24.90000
arenito     49.0        4004.359        66.2000        2.613000        59.70000        26.50000
arenito     49.0        4004.207        75.7000        2.635000        59.00000        28.40000
arenito     49.0        4004.054        96.9000        2.644000        58.10000        29.10000
arenito     49.0        4003.902        117.300 2.635000        57.50000        28.80000
arenito     49.0        4003.750        126.500 2.622000        57.80000        29.40000
arenito     49.0        4003.597        126.700 2.617000        58.60000        30.20000
arenito     49.0        4003.444        124.300 2.617000        59.60000        31.50000
arenito     49.0        4003.292        123.000 2.615000        60.30000        32.70000
folhelho    57.0        4003.140        124.800 2.606000        60.30000        34.20000
folhelho    57.0        4002.987        124.500 2.596000        59.90000        34.20000
folhelho    57.0        4002.835        110.300 2.597000        59.30000        34.30000
folhelho    57.0        4002.683        81.5000        2.612000        59.20000        35.60000
folhelho    57.0        4002.530        52.4000        2.623000        59.40000        35.90000
folhelho    57.0        4002.378        36.3000        2.614000        59.10000        36.50000
folhelho    57.0        4002.225        31.2000        2.587000        58.30000        37.20000
folhelho    57.0        4002.073        28.7000        2.557000        57.40000        38.40000
folhelho    57.0        4001.920        26.1000        2.532000        57.70000        38.20000
folhelho    57.0        4001.768        24.7000        2.516000        60.00000        38.40000
folhelho    57.0        4001.616        24.8000        2.514000        62.10000        39.80000
folhelho    57.0        4001.463        25.6000        2.526000        62.80000        40.10000
folhelho    57.0        4001.311        26.1000        2.541000        62.30000        40.70000
folhelho    57.0        4001.159        25.3000        2.549000        61.30000        40.70000
folhelho    57.0        4001.006        24.0000        2.542000        60.00000        40.70000
folhelho    57.0        4000.854        24.0000        2.524000        58.90000        40.20000
folhelho    57.0        4000.701        25.4000        2.502000        58.50000        40.40000
folhelho    57.0        4000.549        26.8000        2.488000        58.60000        40.30000
folhelho    57.0        4000.396        27.3000        2.484000        59.30000        39.30000
folhelho    57.0        4000.244        27.8000        2.485000        60.50000        38.40000
folhelho    57.0        4000.092        28.3000        2.486000        61.20000        38.30000
folhelho    57.0        3999.939        27.1000        2.488000        61.40000        38.30000
folhelho    57.0        3999.787        25.3000        2.497000        61.20000        38.00000
folhelho    57.0        3999.635        25.4000        2.512000        60.60000        38.60000
folhelho    57.0        3999.482        28.5000        2.526000        60.10000        39.10000
folhelho    57.0        3999.330        33.6000        2.532000        59.70000        38.80000
folhelho    57.0        3999.177        39.1000        2.534000        59.10000        39.70000
folhelho    57.0        3999.025        44.1000        2.537000        58.50000        40.30000
folhelho    57.0        3998.873        46.3000        2.544000        58.40000        40.80000
folhelho    57.0        3998.720        44.3000        2.554000        59.00000        42.30000
folhelho    57.0        3998.568        40.0000        2.564000        60.30000        44.30000
folhelho    57.0        3998.416        36.9000        2.572000        61.30000        45.60000
folhelho    57.0        3998.263        37.1000        2.576000        62.00000        45.90000
folhelho    57.0        3998.110        40.5000        2.576000        62.30000        47.70000
folhelho    57.0        3997.958        45.2000        2.574000        62.60000        48.80000
folhelho    57.0        3997.806        48.3000        2.566000        63.10000        49.90000
folhelho    57.0        3997.653        49.9000        2.547000        63.70000        51.70000
folhelho    57.0        3997.501        52.3000        2.511000        63.90001        53.20000
folhelho    57.0        3997.349        55.5000        2.463000        63.50000        53.70000
folhelho    57.0        3997.196        56.2000        2.421000        62.20000        54.10000
folhelho    57.0        3997.044        52.7000        2.394000        61.00000        55.80000
folhelho    57.0        3996.891        49.5000        2.383000        60.50000        55.70000
folhelho    57.0        3996.739        50.6000        2.381000        60.50000        55.90000
folhelho    57.0        3996.586        54.3000        2.386000        60.90000        55.60000
folhelho    57.0        3996.434        57.2000        2.402000        61.10000        56.00000
folhelho    57.0        3996.282        59.2000        2.431000        61.00000        55.10000
folhelho    57.0        3996.129        63.3000        2.465000        61.20000        55.10000
folhelho    57.0        3995.977        69.3000        2.495000        61.80000        55.30000
folhelho    57.0        3995.825        72.9000        2.507000        61.80000        54.80000
folhelho    57.0        3995.672        72.3000        2.500000        61.30000        55.30000
folhelho    57.0        3995.520        68.3000        2.491000        61.10000        54.90000
folhelho    57.0        3995.367        61.4000        2.500000        60.90000        54.00000
folhelho    57.0        3995.215        52.4000        2.529000        60.70000        52.70000
folhelho    57.0        3995.062        43.2000        2.559000        61.10000        52.30000
folhelho    57.0        3994.910        36.8000        2.572000        62.20000        51.60000
folhelho    57.0        3994.758        34.8000        2.569000        63.40000        49.60000
folhelho    57.0        3994.605        34.5000        2.563000        64.39999        49.20000
folhelho    57.0        3994.453        34.6000        2.551000        65.30000        48.50000
folhelho    57.0        3994.300        35.8000        2.536000        65.80000        47.80000
folhelho    57.0        3994.148        38.9000        2.523000        65.09999        47.00000
folhelho    57.0        3993.996        44.7000        2.513000        63.60001        47.60000
folhelho    57.0        3993.843        52.5000        2.508000        62.20000        46.70000
folhelho    57.0        3993.691        60.6000        2.507000        61.80000        46.50000
folhelho    57.0        3993.539        64.3000        2.513000        62.90000        46.30000
folhelho    57.0        3993.386        60.3000        2.526000        64.39999        46.20000
folhelho    57.0        3993.234        51.7000        2.542000        65.00000        45.30000
arenito     49.0        3993.082        44.0000        2.553000        64.70000        44.80000
arenito     49.0        3992.929        43.8000        2.553000        64.00000        45.50000
arenito     49.0        3992.776        55.0000        2.548000        63.30000        46.30000
arenito     49.0        3992.624        74.7000        2.541000        62.50000        45.60000
arenito     49.0        3992.472        93.8000        2.540000        62.00000        45.80000
arenito     49.0        3992.319        104.600 2.556000        61.90000        45.70000
arenito     49.0        3992.167        109.000 2.590000        62.10000        45.60000
arenito     49.0        3992.015        112.800 2.626000        62.70000        45.40000
arenito     49.0        3991.862        116.500 2.645000        63.70000        46.60000
arenito     49.0        3991.710        116.200 2.645000        64.09999        46.50000
arenito     49.0        3991.557        112.600 2.639000        63.30000        46.50000
arenito     49.0        3991.405        109.300 2.635000        61.60000        47.10000
arenito     49.0        3991.252        108.700 2.636000        60.30000        47.20000
folhelho    57.0        3991.100        110.000 2.640000        59.90000        47.40000
folhelho    57.0        3990.948        110.900 2.646000        60.10000        47.60000
folhelho           57.0        3990.795        109.600 2.654000        60.10000        48.10000
folhelho           57.0        3990.643        105.700 2.658000        59.70000        48.00000
folhelho           57.0        3990.491        103.400 2.653000        59.30000        48.30000
folhelho           57.0        3990.338        103.700 2.644000        60.60000        49.10000
folhelho           57.0        3990.186        101.600 2.636000        64.39999        49.30000
folhelho           57.0        3990.033        91.9000        2.634000        68.20000        49.60000
folhelho           57.0        3989.881        77.6000        2.640000        68.59999        51.30000
folhelho           57.0        3989.729        66.9000        2.653000        65.39999        50.60000
