~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 09:18 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1TP__0003__SC_1TP__0003__SC.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 07:49 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
DT US/F ----
GR GAPI ----
CALI IN ----
RHOB G/CC ----
NPHI FRAC ----
DRHO G/CC ----
ILD OHMM ----
SP MV ----
#-----------------------------------------------------------------------------
M M US/F GAPI IN G/CC FRAC G/CC OHMM MV
DEPT DEPT DT GR CALI RHOB NPHI DRHO ILD SP
~Ascii
3247.4916 3247.4916 55.9920 166.6328 8.2740 2.6035 0.0392 0.1115 1960.0237 10.6867
3247.3392 3247.3392 55.9431 166.7958 8.2740 2.6018 0.0392 0.1164 1960.0237 10.6760
3247.1868 3247.1868 55.8439 167.4465 8.2740 2.6223 0.0394 0.1175 1960.0237 10.9179
3247.0344 3247.0344 55.8913 168.5949 8.2740 2.6188 0.0394 0.1175 1960.0237 11.6505
3246.8820 3246.8820 55.8428 169.7485 8.2740 2.6148 0.0396 0.1205 1960.0237 12.6325
3246.7296 3246.7296 55.8915 166.1779 8.2740 2.6177 0.0396 0.1117 1960.0237 12.6462
3246.5772 3246.5772 55.8424 164.7496 8.2740 2.6088 0.0396 0.1116 1960.0237 11.9124
3246.4248 3246.4248 55.9417 165.8075 8.2740 2.6237 0.0396 0.1265 1960.0237 11.6619
3246.2724 3246.2724 55.9420 165.9752 8.2740 2.6366 0.0396 0.1454 1960.0237 12.1523
3246.1200 3246.1200 55.7921 165.9753 8.2740 2.6277 0.0396 0.1434 1960.0237 12.1537
3245.9676 3245.9676 55.7928 165.5570 8.2740 2.6108 0.0396 0.1275 1960.0237 12.1526
3245.8152 3245.8152 55.9420 163.9899 8.2740 2.6147 0.0396 0.1215 1960.0237 11.9085
3245.6628 3245.6628 55.9412 162.0941 8.2740 2.6196 0.0396 0.1206 1960.0237 12.1455
3245.5104 3245.5104 55.8433 160.8581 8.2740 2.6088 0.0396 0.1263 1960.0237 11.1715
3245.3580 3245.3580 55.9428 159.9653 8.2740 2.6137 0.0396 0.1128 1960.0237 11.4262
3245.2056 3245.2056 55.9920 160.1393 8.2740 2.6144 0.0396 0.1292 1960.0237 12.1498
3245.0532 3245.0532 55.9910 160.8865 8.2740 2.5969 0.0396 0.1134 1960.0237 11.8930
3244.9008 3244.9008 55.9397 161.7938 8.2740 2.6031 0.0396 0.1046 1960.0237 11.1855
3244.7484 3244.7484 55.8432 162.6063 8.2740 2.6154 0.0396 0.1057 1960.0237 11.9131
3244.5960 3244.5960 55.8907 162.9280 8.2740 2.6013 0.0396 0.1124 1960.0237 12.1669
3244.4436 3244.4436 55.8451 162.9280 8.2740 2.5846 0.0396 0.1060 1960.0237 12.6762
3244.2912 3244.2912 55.9420 162.9535 8.2740 2.6098 0.0396 0.1203 1960.0237 13.6313
