WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        SN         DT         TT1        TT2        TT3        TT4        TENS   
M          GAPI       IN         OHMM       OHMM       US/F       US         US         US         US         LB     
1824.277   0.0        0.50000    10.2       8.74984    77.00000   356.0000   398.0000   533.0000   530.0000   1949   
1824.125   0.0        0.50000    10.4       8.79023    77.00000   357.0000   397.0000   534.0000   530.0000   1974   
1823.972   0.0        0.50000    10.5       8.81049    77.00000   357.0000   398.0000   533.0000   529.0000   2000   
1823.820   0.0        0.50000    10.7       8.93306    76.89999   356.0000   397.0000   533.0000   530.0000   2005   
1823.667   0.0        0.50000    11.0       9.07821    76.89999   356.0000   398.0000   533.0000   529.0000   1991   
1823.515   0.0        0.50000    11.3       9.26830    76.89999   356.0000   397.0000   533.0000   530.0000   1966   
1823.363   0.0        0.50000    11.7       9.48418    76.80000   356.0000   397.0000   534.0000   530.0000   1953   
1823.210   0.0        0.50000    12.0       9.74990    76.89999   357.0000   398.0000   533.0000   529.0000   1948   
1823.058   0.0        0.50000    12.2       10.00000   76.89999   357.0000   398.0000   533.0000   529.0000   1968   
1822.905   0.0        0.50000    12.4       10.25652   76.80000   356.0000   398.0000   534.0000   529.0000   1976   
1822.753   0.0        0.50000    12.6       10.44720   76.89999   356.0000   397.0000   533.0000   530.0000   1980   
1822.600   0.0        0.50000    13.0       10.56818   76.89999   356.0000   397.0000   533.0000   529.0000   1970   
1822.448   0.0        0.50000    13.7       10.73989   76.80000   356.0000   398.0000   533.0000   530.0000   1967   
1822.296   0.0        0.50000    14.6       10.83927   76.80000   356.0000   397.0000   534.0000   530.0000   1969   
1822.143   0.0        0.50000    15.5       10.93956   76.89999   356.0000   397.0000   533.0000   530.0000   1972   
1821.991   0.0        0.50000    16.0       10.88930   76.89999   357.0000   398.0000   533.0000   530.0000   1973   
1821.838   0.0        0.50000    16.0       10.76465   76.89999   356.0000   398.0000   533.0000   530.0000   1971   
1821.686   39.7000    0.50000    15.6       10.51962   76.89999   356.0000   398.0000   533.0000   529.0000   1969   
1821.534   43.9000    0.50000    15.1       10.13911   77.00000   356.0000   397.0000   533.0000   530.0000   1965   
1821.381   47.2000    0.50000    14.6       9.84011    76.80000   356.0000   397.0000   533.0000   529.0000   1965   
1821.229   48.5000    0.50000    14.1       9.61612    76.70000   356.0000   398.0000   533.0000   529.0000   1963   
1821.076   48.5000    0.50000    13.6       9.52796    76.70000   356.0000   398.0000   533.0000   530.0000   1964   
1820.924   47.2000    0.50000    12.9       9.54993    76.80000   356.0000   398.0000   533.0000   529.0000   1963   
1820.772   45.4000    0.50000    12.1       9.63829    76.80000   356.0000   398.0000   534.0000   529.0000   1963   
1820.619   45.2000    0.50000    11.5       9.81748    76.89999   356.0000   397.0000   533.0000   529.0000   1961   
1820.467   47.4000    0.50000    11.0       9.93116    76.89999   356.0000   398.0000   533.0000   529.0000   1961   
1820.314   49.2000    0.50000    10.9       10.11580   76.89999   356.0000   398.0000   533.0000   530.0000   1966   
1820.162   48.9000    0.50000    10.9       10.20940   76.89999   356.0000   398.0000   534.0000   530.0000   1968   
1820.010   48.0000    0.50000    10.9       10.32761   76.89999   356.0000   398.0000   534.0000   530.0000   1971   
1819.857   47.5000    0.50000    11.0       10.44720   76.89999   357.0000   398.0000   533.0000   529.0000   1968   
1819.705   47.4000    0.50000    11.0       10.51962   76.80000   356.0000   398.0000   533.0000   530.0000   1969   
1819.552   47.3000    0.50000    11.1       10.59254   76.70000   356.0000   398.0000   533.0000   530.0000   1966   
1819.400   47.9000    0.50000    11.2       10.61696   76.70000   356.0000   398.0000   534.0000   530.0000   1967   
1819.248   48.5000    0.50000    11.3       10.69055   76.80000   357.0000   398.0000   534.0000   530.0000   1967   
1819.095   48.7000    0.50000    11.4       10.71519   77.00000   356.0000   398.0000   534.0000   530.0000   1969   
1818.943   48.3000    0.50000    11.5       10.71519   77.00000   357.0000   398.0000   534.0000   530.0000   1966   
1818.791   47.6000    0.50000    11.6       10.69055   77.00000   357.0000   398.0000   533.0000   531.0000   1966   
