WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       BIT        GR         FFDC       NFDC       RHOB       DRHO        FCNL       NCNL       NPHI       TENS       
M          IN         IN         GAPI       CPS        CPS        G/CC       G/CC        CPS        CPS        LS         LB         
5910.121   7.96928    8.500000   0.0        259.510    421.3416   2.568751   -0.018127   713.625    698.3503   3.1162     6133.854   
5909.969   7.96329    8.500000   0.0        259.498    421.8063   2.570293   -0.017207   714.791    698.9265   3.1103     6152.155   
5909.816   7.96329    8.500000   0.0        259.498    421.8063   2.570293   -0.017207   714.791    698.9265   3.1103     6152.155   
5909.664   7.96928    8.500000   0.0        260.024    423.6036   2.571234   -0.014097   714.711    699.0088   3.1188     6136.904   
5909.512   7.95873    8.500000   0.0        260.859    424.5485   2.571301   -0.012897   713.356    699.9916   3.1651     6137.515   
5909.359   7.96269    8.500000   0.0        261.399    425.1013   2.569278   -0.012233   710.799    698.7200   3.1816     6148.495   
5909.207   7.96196    8.500000   0.0        262.334    423.5695   2.564320   -0.015932   709.256    695.7422   3.1754     6139.040   
5909.055   7.96196    8.500000   0.0        263.583    421.3967   2.557779   -0.021131   707.299    694.0181   3.1590     6175.944   
5908.901   7.96153    8.500000   5.0533     264.076    419.6506   2.552700   -0.024935   706.762    692.2980   3.1314     6236.335   
5908.749   7.96104    8.500000   14.1071    264.420    418.9189   2.549251   -0.026638   707.760    691.0917   3.1015     6280.864   
5908.597   7.96153    8.500000   25.2905    264.928    417.8526   2.547137   -0.029128   708.396    692.1993   3.0946     6317.465   
5908.444   7.96104    8.500000   34.1546    264.083    416.9459   2.546911   -0.030285   707.963    692.2458   3.1099     6333.935   
5908.292   7.96104    8.500000   39.1101    262.779    415.7902   2.548768   -0.031589   707.174    692.3110   3.1363     6257.075   
5908.140   7.96049    8.500000   38.9428    261.906    416.1932   2.553221   -0.030124   708.142    695.1575   3.1664     6159.779   
5907.987   7.98576    8.500000   38.7091    260.270    418.2524   2.560918   -0.024792   709.794    697.0022   3.1508     6120.435   
5907.835   7.97807    8.500000   38.7348    259.949    422.7525   2.568327   -0.015702   711.938    697.9581   3.1394     6138.734   
5907.683   7.98686    8.500000   38.9413    261.575    426.2171   2.572231   -0.010202   712.355    697.3993   3.1119     6123.484   
5907.530   8.01323    8.500000   38.9299    263.761    430.3355   2.571439   -0.003917   711.412    696.4572   3.0794     6126.535   
5907.378   8.01999    8.500000   38.8431    268.073    433.3262   2.565000   -0.001436   709.848    694.7759   3.0870     6152.155   
5907.226   8.04119    8.500000   38.2062    274.116    435.5587   2.551033   -0.001642   708.680    695.8673   3.1093     6183.265   
5907.073   8.31683    8.500000   37.8827    282.530    436.4966   2.533195   -0.005906   707.755    697.3787   2.9276     6163.135   
5906.921   8.43068    8.500000   37.8159    289.042    437.7785   2.517957   -0.008036   706.669    700.4216   2.9006     6150.935   
5906.769   8.43800    8.500000   38.0666    291.532    437.1024   2.513270   -0.011027   708.010    703.4619   2.9420     6135.685   
5906.616   8.43068    8.500000   37.8591    288.156    438.4122   2.520256   -0.006227   708.919    704.5817   2.9690     6197.295   
5906.464   8.43800    8.500000   37.9420    282.795    438.1739   2.532629   -0.002923   708.349    704.9178   2.9733     6182.044   
5906.312   8.43068    8.500000   37.4245    276.938    434.7003   2.541695   -0.005320   706.650    703.1149   2.9694     6180.215   
5906.158   8.43068    8.500000   37.6435    273.855    431.3682   2.547410   -0.009441   705.094    699.3364   2.9265     6207.055   
5906.006   8.45265    8.500000   37.6115    270.807    430.3882   2.551676   -0.009086   704.708    696.4719   2.8354     6177.774   
5905.854   8.43068    8.500000   37.6715    269.675    429.5551   2.554640   -0.009848   707.896    694.9061   2.7677     6135.685   
5905.701   8.42336    8.500000   37.5712    271.001    432.1379   2.553366   -0.005876   711.445    694.8668   2.7190     6156.425   
5905.549   8.40871    8.500000   38.0159    275.371    434.4648   2.546695   -0.004632   713.106    697.9441   2.7322     6218.340   
5905.396   8.40432    8.500000   38.2254    279.914    434.9219   2.535746   -0.007033   713.854    700.1027   2.7830     6246.095   
5905.244   8.39406    8.500000   37.7855    284.678    435.5901   2.526362   -0.009137   711.884    702.2032   2.8855     6264.395   
5905.092   8.39406    8.500000   37.4097    286.144    436.4406   2.521193   -0.008552   706.065    703.2244   3.0184     6194.854   
5904.939   8.40871    8.500000   36.9962    286.709    435.7579   2.521361   -0.010240   700.275    701.6274   3.1376     6147.885   
5904.787   8.39113    8.500000   36.7729    285.993    438.8102   2.532350   -0.003971   693.496    699.8319   3.2415     6119.215   
5904.635   8.39406    8.500000   36.9624    287.605    457.5752   2.522954   0.029512    693.057    699.2013   3.2127     6139.955   
5904.482   8.36477    8.500000   37.3563    349.541    493.0269   2.453128   0.052212    702.545    700.3533   3.0348     6142.395   
5904.330   10.22501   8.500000   37.3561    448.753    532.0477   2.344605   0.065236    719.923    702.5128   1.5990     6142.395   
5904.178   10.42128   8.500000   37.6706    515.132    548.1744   2.267193   0.062349    744.077    705.4751   1.2788     6159.475   
5904.025   8.56983    8.500000   37.8699    510.568    536.6499   2.257807   0.046567    773.920    711.7484   1.8925     6205.529   
5903.873   8.14505    8.500000   37.5327    439.333    504.4081   2.331147   0.025386    811.773    723.1732   1.8183     6215.595   
5903.721   8.14505    8.500000   37.2561    337.207    480.2842   2.453928   0.037748    872.843    752.1804   1.5164     6224.135   
5903.567   8.14066    8.500000   37.4424    286.993    467.4921   2.548844   0.047658    973.025    801.8864   1.2068     6202.175   
5903.415   8.14505    8.500000   37.2659    282.535    464.0892   2.579384   0.044749    1080.589   847.6544   0.9067     6222.915   
5903.263   8.13041    8.500000   37.5729    284.805    465.6739   2.579250   0.045968    1162.426   871.7885   0.6730     6239.385   
5903.110   8.14505    8.500000   37.1133    290.047    473.2404   2.574230   0.055642    1199.170   872.6051   0.5223     6166.795   
5902.958   8.14505    8.500000   37.4873    296.671    475.8961   2.565865   0.055757    1195.205   863.9781   0.4815     6178.385   
5902.806   8.13041    8.500000   39.0130    301.479    478.6835   2.559155   0.057370    1179.995   862.9141   0.5273     6188.145   
5902.653   8.14505    8.500000   40.5620    309.969    492.4342   2.553709   0.075227    1179.854   877.8157   0.5945     6139.345   
5902.501   8.17435    8.500000   40.0362    334.503    520.1945   2.541829   0.105328    1186.625   893.2606   0.6449     6112.505   
5902.349   8.33547    8.500000   38.0748    374.080    564.2395   2.520858   0.150154    1188.361   899.7971   0.6121     6093.595   
5902.196   8.36477    8.500000   34.5264    417.126    605.3387   2.494233   0.186498    1190.170   897.2667   0.5958     6100.305   
5902.044   8.36477    8.500000   31.2501    448.085    624.2949   2.466584   0.197673    1193.335   897.1840   0.5733     6099.390   
5901.892   8.36477    8.500000   29.8198    459.916    622.8414   2.446030   0.190539    1199.208   895.4487   0.5449     6126.535   
5901.739   8.36477    8.500000   28.3206    456.146    612.6482   2.434323   0.178548    1199.512   890.3365   0.5212     6199.430   
5901.587   8.29153    8.500000   27.5189    447.393    595.3120   2.427896   0.158696    1183.884   878.5834   0.5595     6193.635   
5901.435   8.36477    8.500000   28.2934    431.292    573.2916   2.427122   0.134869    1142.837   861.1937   0.6032     6183.875   
5901.282   8.90672    8.500000   31.6301    410.665    553.4620   2.440135   0.115571    1093.874   843.7200   0.5280     6210.104   
5901.130   9.18503    8.500000   34.6786    388.211    546.7681   2.469967   0.116749    1050.980   831.4348   0.5359     6156.425   
5900.977   8.56983    8.500000   35.8303    377.212    560.4357   2.504564   0.142898    1041.822   829.6426   0.7909     6138.124   
5900.824   8.56983    8.500000   34.0532    382.860    583.1372   2.525358   0.172745    1075.317   844.4286   0.7203     6203.699   
5900.672   8.64307    8.500000   31.0324    399.466    605.7437   2.524249   0.195694    1133.601   864.8196   0.5858     6271.715   
5900.520   8.64307    8.500000   28.0843    412.719    608.5062   2.506502   0.192932    1156.222   873.0166   0.5387     6312.279   
5900.367   8.64307    8.500000   26.6990    414.749    591.9633   2.485415   0.169173    1123.804   860.3263   0.6072     6346.744   
5900.215   8.67236    8.500000   25.9976    411.866    580.2018   2.470469   0.153981    1035.777   820.4683   0.7673     6366.265   
5900.062   8.83349    8.500000   25.1036    415.007    577.6687   2.460911   0.148846    936.258    772.3971   0.9261     6274.765   
5899.910   8.87743    8.500000   24.6877    424.513    584.6024   2.454038   0.154182    872.064    742.7859   1.0930     6138.430   
5899.758   8.80419    8.500000   26.2451    430.228    590.3999   2.453066   0.159666    864.353    744.1641   1.2209     6128.975   
5899.605   8.73095    8.500000   31.5443    418.412    580.7633   2.462250   0.151630    882.078    761.0033   1.2936     6107.319   
