~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 15:17 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1API_0001__PR_1API_0001__PR.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 15:16 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
CAL2 IN ----
RB ---- ----
GR ---- ----
CALI IN ----
#-----------------------------------------------------------------------------
M M IN ---- ---- IN
DEPT DEPT CAL2 RB GR CALI
~Ascii
4289.2980 4289.2980 8.1800 213.0000 19.3000 8.8000
4289.1456 4289.1456 8.1900 216.0000 17.9000 8.7938
4288.9932 4288.9932 8.3200 216.0000 17.5000 9.0000
4288.8408 4288.8408 8.3200 216.0000 19.5000 8.9760
4288.6884 4288.6884 8.3200 216.0000 23.4000 8.9700
4288.5360 4288.5360 8.2900 216.0000 26.6000 8.9909
4288.3836 4288.3836 8.2900 216.0000 28.6000 9.6355
4288.2312 4288.2312 8.2200 219.0000 27.6000 10.9888
4288.0788 4288.0788 8.1900 219.0000 24.7000 11.4944
4287.9264 4287.9264 8.1900 219.0000 24.9000 11.5645
4287.7740 4287.7740 8.1900 219.0000 24.9000 11.1663
4287.6216 4287.6216 8.1900 219.0000 24.9000 11.1481
4287.4692 4287.4692 8.1900 219.0000 23.9000 11.0000
4287.3168 4287.3168 8.1900 219.0000 23.2881 10.9700
4287.1644 4287.1644 8.1900 219.0000 20.9000 10.8800
4287.0120 4287.0120 8.1900 219.0000 21.5427 10.8800
4286.8596 4286.8596 8.1900 219.0000 25.2000 10.8800
4286.7072 4286.7072 8.1900 219.0000 31.4770 10.8800
4286.5548 4286.5548 8.1900 216.0000 39.2462 8.8612
4286.4024 4286.4023 8.1500 216.0000 44.0000 8.5800
4286.2500 4286.2500 8.1200 216.0000 44.7000 8.2900
4286.0976 4286.0977 8.1200 216.0000 43.2000 8.2900
4285.9452 4285.9452 8.1200 216.0000 39.5000 8.2900
4285.7928 4285.7928 8.1200 216.0000 36.9000 8.2900
4285.6404 4285.6404 8.1200 217.3382 35.6000 8.2900
4285.4880 4285.4880 8.1300 216.0000 36.0000 8.2900
4285.3356 4285.3356 8.1500 219.0000 37.9782 8.2700
4285.1832 4285.1832 8.1500 219.0000 40.9000 8.2500
4285.0308 4285.0308 8.1464 219.0000 45.3887 8.2100
4284.8784 4284.8784 8.1200 221.0000 47.4000 8.2100
4284.7260 4284.7260 8.1200 221.0000 45.9054 8.2100
4284.5736 4284.5736 8.1200 224.0000 41.8000 8.2100
4284.4212 4284.4212 8.1300 221.0000 38.9000 8.2100
4284.2688 4284.2688 8.1200 224.0000 36.9000 8.2100
4284.1164 4284.1164 8.1200 228.0000 37.6000 8.2100
4283.9640 4283.9640 8.1500 228.0000 39.7000 8.2100
4283.8116 4283.8116 8.1500 230.0000 40.9456 8.2446
4283.6592 4283.6592 8.1500 230.0000 42.7993 8.2500
4283.5068 4283.5068 8.1500 230.0000 43.5000 8.2500
4283.3544 4283.3544 8.1500 230.0000 44.5000 8.2500
4283.2020 4283.2020 8.1500 233.0000 46.3000 8.2500
4283.0496 4283.0496 8.1500 233.0000 48.5000 8.2400
4282.8972 4282.8972 8.1500 233.0000 48.5000 8.2400
4282.7448 4282.7448 8.1200 236.0000 51.5000 8.1700
4282.5924 4282.5924 8.1200 239.0000 51.0000 8.1392
4282.4400 4282.4400 8.0800 239.0000 49.5000 8.1300
4282.2876 4282.2876 8.0500 239.0000 45.7000 8.0900
4282.1352 4282.1352 8.0500 239.0000 43.2000 8.0500
4281.9828 4281.9828 8.0200 241.0000 40.6000 8.0500
4281.8304 4281.8304 7.9900 245.0000 38.6000 8.0100
4281.6780 4281.6780 8.0995 245.0000 39.0946 8.1295
4281.5256 4281.5256 8.1200 245.0000 38.8357 8.1300
4281.3732 4281.3732 8.1200 247.4216 40.4000 8.1500
4281.2208 4281.2208 8.1200 248.0000 47.8421 8.1538
4281.0684 4281.0684 8.1200 248.0000 50.5000 8.1600
4280.9160 4280.9160 7.9800 248.0000 49.7390 7.9700
4280.7636 4280.7636 8.0281 248.0000 44.7038 7.9781
4280.6112 4280.6112 8.0681 252.0000 39.5387 8.0000
4280.4588 4280.4588 8.0800 252.0000 37.9000 8.0100
4280.3064 4280.3064 8.0600 252.0000 38.6000 8.0100
4280.1540 4280.1540 8.0800 254.0000 35.4509 7.9700
4280.0016 4280.0016 8.0800 250.0000 32.7000 7.9900
4279.8492 4279.8492 8.0668 250.6838 29.3000 7.9700
4279.6968 4279.6968 8.0800 251.0000 31.4738 7.9900
4279.5444 4279.5444 8.0800 251.0000 37.1000 7.9800
4279.3920 4279.3920 8.0788 251.0000 51.4000 7.9700
4279.2396 4279.2396 8.0653 254.0000 69.0889 7.9700
4279.0872 4279.0872 8.3200 254.0000 81.2000 8.1012
4278.9348 4278.9348 8.3200 254.0000 86.3000 8.1300
4278.7824 4278.7824 8.3200 254.0000 81.1284 8.1700
4278.6300 4278.6300 8.2800 254.0000 71.5000 8.1300
4278.4776 4278.4776 8.1501 255.0000 61.6112 8.0100
4278.3252 4278.3252 8.1200 258.0000 50.4808 7.9940
4278.1728 4278.1729 8.1200 258.0000 50.8000 7.9900
4278.0204 4278.0204 8.0800 258.0000 41.9000 8.1542
4277.8680 4277.8680 8.0783 258.0000 36.9333 8.2900
4277.7156 4277.7156 8.0800 258.0000 36.4000 8.2945
4277.5632 4277.5632 8.0600 258.0000 39.5283 9.5128
4277.4108 4277.4108 7.9800 252.0000 42.7000 9.7856
4277.2584 4277.2584 7.9500 243.0000 39.5000 10.4216
4277.1060 4277.1060 7.9500 237.0000 34.8000 10.6796
4276.9536 4276.9536 7.9500 231.0000 31.3189 9.9700
4276.8012 4276.8012 7.9663 230.0000 31.1000 9.3249
4276.6488 4276.6488 8.0800 236.0000 32.9000 8.6500
4276.4964 4276.4964 8.1200 238.0000 34.5000 8.6000
4276.3440 4276.3440 8.1500 238.0000 35.3000 8.5300
4276.1916 4276.1916 8.1900 241.0000 35.7000 8.5216
4276.0392 4276.0392 8.1900 245.0000 36.6000 8.5600
4275.8868 4275.8868 8.2200 245.0000 36.9408 8.6000
4275.7344 4275.7344 8.2500 245.0000 34.9000 8.6000
4275.5820 4275.5820 8.3200 245.0000 33.9000 8.6100
4275.4296 4275.4296 8.3500 245.0000 34.5000 8.6700
4275.2772 4275.2772 8.3500 248.0000 38.1000 8.6700
4275.1248 4275.1248 8.3500 248.0000 41.5441 8.7944
4274.9724 4274.9724 8.3900 248.0000 44.3000 8.7900
4274.8200 4274.8200 8.3900 248.0000 44.7000 8.7900
4274.6676 4274.6676 8.4200 248.0000 42.3000 8.7900
4274.5152 4274.5152 8.4500 248.0000 43.2461 8.8200
4274.3628 4274.3628 8.5090 248.0000 46.2000 8.9000
4274.2104 4274.2104 8.5800 248.0000 51.5000 8.9943
4274.0580 4274.0580 9.2092 248.0000 57.9451 9.3292
4273.9056 4273.9056 9.3667 248.0000 61.8000 9.4700
4273.7532 4273.7532 9.5679 248.0000 64.5000 9.5800
4273.6008 4273.6008 9.7036 248.0000 63.5977 9.7200
4273.4484 4273.4484 9.7100 248.0000 63.4015 9.7200
4273.2960 4273.2960 9.7300 248.0000 63.8000 9.7400
4273.1436 4273.1436 9.7300 248.0000 63.5209 9.7400
4272.9912 4272.9912 9.7300 248.0000 61.7899 9.7100
4272.8388 4272.8388 9.7400 248.7450 62.4000 9.7100
4272.6864 4272.6864 9.7600 250.4506 61.5000 9.7000
4272.5340 4272.5340 9.7900 252.0000 62.6000 9.7100
4272.3816 4272.3816 9.8000 252.0000 63.0207 9.7100
4272.2292 4272.2292 9.8100 252.0000 63.0000 9.7100
4272.0768 4272.0768 9.8400 252.0000 63.1929 9.7100
4271.9244 4271.9244 9.9468 252.0000 62.5000 9.7100
4271.7720 4271.7720 9.9500 252.0000 63.9000 9.6700
4271.6196 4271.6196 9.9700 252.0000 62.9976 9.6700
4271.4672 4271.4672 10.0400 257.0000 62.4000 9.6200
4271.3148 4271.3148 10.0600 257.0000 64.3000 9.5900
4271.1624 4271.1624 10.1500 261.0000 62.9881 9.5606
4271.0100 4271.0100 10.1955 261.0000 64.7000 9.4800
4270.8576 4270.8576 10.4696 265.0000 64.0000 9.3902
4270.7052 4270.7052 10.5500 265.0000 62.7000 9.3300
4270.5528 4270.5528 10.5099 270.0000 61.5000 9.3100
4270.4004 4270.4004 10.6500 275.0000 58.7000 9.1660
4270.2480 4270.2480 11.2700 279.0000 55.4000 8.8681
4270.0956 4270.0956 11.6300 283.0000 54.0842 8.8600
