WellName: 1API 0001  PR
Field:    PR-01
Operator: PETROBRAS
Country:  BRA

DEPT       TTI        
FT                    
19364.18   0.0        
19363.68   0.0        
19363.19   0.0        
19362.70   0.0        
19362.21   0.0        
19361.71   0.0        
19361.22   0.0        
19360.73   0.0        
19360.24   0.0        
19359.75   0.0        
19359.25   0.0        
19358.76   0.0        
19358.27   0.0        
19357.78   0.0        
19357.29   0.0        
19356.79   0.0        
19356.30   0.0        
19355.81   0.0        
19355.32   0.0        
19354.82   0.0        
19354.33   0.0        
19353.84              
19353.35   0.0        
19352.86   0.0        
19352.36   0.0        
19351.87   0.0        
19351.38   0.0        
19350.89   0.0        
19350.39   0.0        
19349.90   0.0        
19349.41   0.0        
19348.92   0.0        
19348.43   0.0        
19347.93   0.0        
19347.44   0.0        
19346.95   1.000000   
19346.46   0.0        
19345.96   0.0        
19345.47   0.0        
19344.98   0.0        
19344.49   0.0        
19344.00   0.0        
19343.50   0.0        
19343.01   0.0        
19342.52   0.0        
19342.03   0.0        
19341.54   0.0        
19341.04   0.0        
19340.55   0.0        
19340.06   0.0        
19339.57   0.0        
19339.07   0.0        
19338.58   0.0        
19338.09   0.0        
19337.60   0.0        
19337.11   0.0        
19336.61   0.0        
19336.12   0.0        
19335.63   0.0        
19335.14   0.0        
19334.65   0.0        
19334.16   0.0        
19333.66   0.0        
19333.17   0.0        
19332.68   0.0        
19332.19   0.0        
19331.70   0.0        
19331.20   0.0        
19330.71   0.0        
19330.22   1.000000   
19329.73   0.0        
19329.23   0.0        
19328.74   0.0        
19328.25   0.0        
19327.76   0.0        
19327.27   0.0        
19326.77   0.0        
19326.28   0.0        
19325.79   0.0        
19325.30   0.0        
19324.80   0.0        
19324.31   0.0        
19323.82   0.0        
19323.33   0.0        
19322.84   0.0        
19322.34              
19321.85   0.0        
19321.36   0.0        
19320.87   0.0        
19320.38   0.0        
19319.88   0.0        
19319.39   0.0        
19318.90   0.0        
19318.41   0.0        
19317.91   0.0        
19317.42   0.0        
19316.93   0.0        
19316.44   0.0        
19315.95   0.0        
19315.45   0.0        
19314.96   0.0        
19314.47   0.0        
19313.98   0.0        
19313.48   1.000000   
19312.99   0.0        
19312.50   0.0        
19312.01   0.0        
19311.52   0.0        
19311.02   0.0        
19310.53   0.0        
19310.04   0.0        
19309.55   0.0        
19309.05   0.0        
19308.56   0.0        
19308.07   0.0        
19307.58   0.0        
19307.09   0.0        
19306.59   0.0        
19306.10   0.0        
19305.61   0.0        
19305.12   0.0        
19304.63   0.0        
19304.14   0.0        
19303.64   0.0        
19303.15   0.0        
19302.66   0.0        
19302.17   0.0        
19301.68   0.0        
19301.18   0.0        
19300.69   0.0        
19300.20   0.0        
19299.71   0.0        
19299.21   0.0        
19298.72   0.0        
19298.23   0.0        
19297.74   0.0        
19297.25   1.000000   
19296.75   0.0        
19296.26   0.0        
19295.77   0.0        
19295.28   0.0        
19294.79   0.0        
19294.29   0.0        
19293.80   0.0        
19293.31   0.0        
19292.82   0.0        
19292.32   0.0        
19291.83   0.0        
