WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP           GR         LLD         LLS         RLLD        RLLS        TENS       
M          MV           GAPI       OHMM        OHMM        OHMM        OHMM        LB         
4008.169   42.70000     41.3000    133.0455    161.4358    121.6186    147.5706    4306.000   
4008.017   43.00000     40.3000    149.9685    181.9701    151.0080    185.3531    4292.000   
4007.864   43.60000     39.6000    162.9296    197.2423    188.3649    227.5098    4287.000   
4007.712   44.60000     39.9000    173.7801    209.4113    183.2314    219.7860    4281.000   
4007.559   44.10000     41.9000    177.4190    213.3045    172.1869    207.9697    4282.000   
4007.407   44.60000     45.2000    169.8244    203.2357    175.7923    207.9697    4272.000   
4007.254   45.10000     49.8000    156.6751    186.6379    168.6553    204.6445    4258.000   
4007.102   44.90000     56.7000    140.2814    165.9587    150.6607    177.4190    4264.000   
4006.950   45.10000     68.3000    118.5768    140.6047    116.9500    135.8313    4261.000   
4006.797   45.60000     82.5000    97.2747     114.8153    89.5365     104.7128    4281.000   
4006.645   45.50000     90.6000    81.6582     97.7237     68.0769     80.9096     4289.000   
4006.493   45.40000     88.2000    74.8169     92.2571     61.5177     75.3355     4311.000   
4006.340   45.50000     80.4000    72.4436     91.2011     72.2770     92.2571     4302.000   
4006.188   46.50000     76.7000    73.4514     93.9723     83.1764     108.1434    4294.000   
4006.035   45.60000     80.4000    72.6106     93.5406     77.9830     100.2305    4291.000   
4005.883   45.80000     87.8000    68.2339     87.9023     72.7780     94.1889     4312.000   
4005.730   45.30000     96.4000    62.6614     79.7995     57.2796     73.6207     4320.000   
4005.578   44.80000     103.7000   58.8844     73.6207     50.5825     64.2688     4329.000   
4005.426   44.20000     108.7000   58.3445     71.1214     55.3350     67.6083     4320.000   
4005.273   43.70000     111.3000   66.2216     78.8860     58.4790     69.1831     4323.000   
4005.121   44.20000     110.5000   82.6038     95.7194     70.3072     81.6582     4320.000   
4004.969   43.70000     103.5000   106.1696    119.9499    96.6051     112.2018    4316.000   
4004.816   44.30000     89.3000    119.1242    132.7394    133.0455    148.9361    4308.000   
4004.664   44.30000     73.9000    119.1242    131.8256    172.9816    188.3649    4316.000   
4004.511   43.60000     67.5000    108.1434    118.8502    123.3105    132.7394    4313.000   
4004.359   43.40000     76.8000    86.8960     95.4993     70.1455     77.9830     4301.000   
4004.207   43.60000     96.8000    56.7545     63.2412     41.4000     46.8813     4288.000   
