WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         BIT        FFDC       NFDC       RHOB       DRHO        FCNL       NCNL       NPHI       TENS       
M          IN         GAPI       IN         CPS        CPS        G/CC       G/CC        CPS        CPS        LS         LB         
5914.083   7.58360    0.0        8.500000   262.064    425.0457   2.570255   -0.012851   0.0        0.0        -2.8660    6197.295   
5913.931   7.58591    0.0        8.500000   262.591    427.1364   2.571502   -0.009196   0.0        0.0        -2.8664    6251.584   
5913.778   7.58360    0.0        8.500000   263.037    429.9069   2.574938   -0.004194   0.0        0.0        -2.8660    6286.354   
5913.626   7.58074    0.0        8.500000   262.157    430.3320   2.578208   -0.002705   0.0        0.0        -2.8655    6272.324   
5913.474   7.58591    0.0        8.500000   262.155    431.4920   2.578816   -0.000480   0.0        0.0        -2.8664    6246.095   
5913.321   7.58074    0.0        8.500000   263.199    430.5598   2.576717   -0.003060   0.0        0.0        -2.8655    6249.755   
5913.169   7.58074    0.0        8.500000   264.271    431.2966   2.574008   -0.002461   0.0        0.0        -2.8655    6193.635   
5913.017   7.57858    0.0        8.500000   265.337    431.8906   2.572637   -0.002128   0.0        0.0        -2.8652    6178.385   
5912.864   7.57858    0.0        8.500000   265.418    432.0867   2.572865   -0.001814   0.0        0.0        -2.8652    6174.115   
5912.712   7.58074    0.0        8.500000   263.203    430.0237   2.574462   -0.004094   0.0        0.0        -2.8655    6189.364   
5912.560   7.57858    0.0        8.500000   262.389    429.4529   2.575219   -0.004571   0.0        0.0        -2.8652    6189.364   
5912.407   7.58074    0.0        8.500000   261.819    427.4821   2.574943   -0.007939   0.0        0.0        100.4975   6194.244   
5912.255   7.58074    0.0        8.500000   261.194    427.0806   2.574715   -0.008239   0.0        83.7945    100.4975   6171.064   
5912.103   7.57858    0.0        8.500000   261.516    427.2912   2.576056   -0.008077   86.689     238.3426   100.4983   6230.234   
5911.950   7.57298    0.0        8.500000   261.370    429.5076   2.580001   -0.003689   243.691    425.0930   20.3743    6273.544   
5911.798   7.57858    0.0        8.500000   260.261    431.5072   2.585395   0.000997    435.271    578.4017   10.8744    6246.095   
5911.646   7.58074    0.0        8.500000   260.523    433.5576   2.588016   0.004715    592.520    662.9567   6.3559     6262.564   
5911.492   7.58074    0.0        8.500000   261.557    433.7357   2.585930   0.004262    680.047    664.2245   4.1230     6319.295   
5911.340   7.59747    0.0        8.500000   262.642    432.2145   2.579749   0.000533    681.633    664.0530   3.3643     6363.215   
5911.188   7.61951    0.0        8.500000   264.316    429.8049   2.572793   -0.005358   684.678    665.2416   3.2796     6399.510   
5911.035   7.68844    0.0        8.500000   264.584    428.4748   2.568815   -0.008122   686.735    662.9177   3.1179     6437.939   
5910.883   7.77093    0.0        8.500000   264.404    428.5292   2.567772   -0.007880   689.101    660.1676   2.9328     6466.305   
5910.730   7.79868    0.0        8.500000   264.759    428.2974   2.567182   -0.008596   691.785    659.6530   2.8413     6549.875   
5910.578   7.80562    0.0        8.500000   265.525    429.3119   2.567066   -0.007218   692.693    660.3933   2.8272     6534.015   
5910.426   7.81880    0.0        8.500000   265.122    429.5251   2.569201   -0.006504   691.152    660.8807   2.8641     6412.624   
5910.273   7.82445    4.4680     8.500000   263.571    429.9651   2.574149   -0.004485   688.843    662.7841   2.9450     6221.084   
5910.121   7.82445    12.8131    8.500000   261.519    430.6376   2.579696   -0.001632   686.651    664.4961   3.0379     6102.744   
5909.969   7.81760    23.0541    8.500000   260.487    430.3228   2.582567   -0.001446   685.528    665.8467   3.1113     6043.575   
5909.816   7.82281    31.4214    8.500000   259.507    428.2134   2.582936   -0.004755   686.349    668.0527   3.1497     6030.765   
5909.664   7.83034    36.1124    8.500000   258.709    427.2939   2.582875   -0.005917   686.514    669.3545   3.1478     6070.415   
5909.512   7.82959    36.8562    8.500000   258.648    427.0990   2.580423   -0.006245   688.193    668.3435   3.1112     6110.064   
5909.359   7.83198    37.9545    8.500000   260.470    425.1638   2.574686   -0.011400   688.425    666.6642   3.0674     6145.444   
5909.207   7.83198    38.3224    8.500000   262.523    425.5370   2.567901   -0.012244   687.997    666.2881   3.0671     6166.795   
5909.055   7.83198    37.9024    8.500000   264.842    425.7578   2.565145   -0.013574   686.606    666.7296   3.0919     6177.164   
5908.901   7.83198    37.1219    8.500000   264.569    428.4905   2.568933   -0.008080   685.643    666.2249   3.1094     6168.015   
5908.749   7.83198    36.5770    8.500000   263.373    431.9759   2.577770   -0.000479   683.586    664.1246   3.0919     6151.544   
5908.597   7.81880    37.0106    8.500000   262.248    435.0487   2.583812   0.006234    683.075    660.9792   3.0543     6133.244   
5908.444   7.83491    37.4430    8.500000   261.897    432.6960   2.583908   0.002019    681.832    657.5262   2.9969     6126.535   
5908.292   7.83198    37.0724    8.500000   261.523    430.4229   2.581040   -0.002046   681.164    657.3970   3.0081     6125.314   
5908.140   7.83491    36.7858    8.500000   261.026    428.7569   2.580265   -0.004873   681.245    659.9818   3.0558     6128.975   
5907.987   7.83198    36.8720    8.500000   259.742    428.4116   2.581719   -0.004553   681.464    662.4075   3.1194     6135.075   
5907.835   7.82026    36.9635    8.500000   259.936    429.6094   2.582320   -0.002395   681.446    664.5574   3.1906     6145.750   
5907.683   7.83198    36.8477    8.500000   262.674    431.8954   2.578502   -0.000103   681.046    666.6846   3.2262     6147.274   
5907.530   7.83491    35.9629    8.500000   267.891    435.1403   2.569540   0.002153    681.182    666.7552   3.2276     6155.510   
5907.378   7.85835    35.2530    8.500000   275.927    440.2908   2.558341   0.005972    681.710    665.4011   3.1549     6144.225   
5907.226   8.05462    35.5288    8.500000   283.963    447.4448   2.548507   0.013557    683.669    663.3236   2.8889     6143.005   
5907.073   8.05462    36.3693    8.500000   289.449    451.7886   2.540805   0.017717    684.978    660.9524   2.8102     6173.810   
5906.921   8.06927    37.0792    8.500000   291.284    450.5841   2.535323   0.014248    686.325    660.3646   2.7609     6179.604   
5906.769   8.08392    37.6016    8.500000   288.190    445.4352   2.533195   0.006883    686.596    661.5068   2.7466     6180.824   
5906.616   8.09857    37.5306    8.500000   283.041    438.5049   2.534552   -0.002473   686.518    661.4484   2.7333     6182.655   
5906.464   8.08245    37.5896    8.500000   278.533    433.9605   2.538059   -0.007874   686.616    660.3436   2.7112     6157.035   
5906.312   8.09857    37.1984    8.500000   275.181    431.5585   2.543004   -0.010043   687.970    657.9401   2.6476     6145.444   
5906.158   8.08245    37.2711    8.500000   273.282    431.7827   2.547318   -0.008229   688.133    656.8282   2.6299     6147.274   
5906.006   8.09857    37.2794    8.500000   272.884    431.7644   2.550758   -0.007974   686.906    656.3685   2.6439     6152.765   
5905.854   8.08245    37.2097    8.500000   275.668    438.5188   2.552745   0.002827    684.621    658.7134   2.7334     6210.715   
5905.701   8.09857    37.3332    8.500000   283.138    448.8203   2.550274   0.016674    683.234    661.9742   2.8234     6184.180   
5905.549   8.08392    36.9245    8.500000   297.224    463.9428   2.538188   0.034360    684.090    666.9033   2.9203     6202.784   
5905.396   8.13519    36.3850    8.500000   320.055    483.3159   2.513188   0.053380    687.041    670.9686   2.9426     6176.555   
5905.244   8.15716    36.1088    8.500000   357.454    511.4788   2.440150   0.078104    689.609    677.1769   3.0199     6206.444   
5905.092   8.18645    36.8995    8.500000   471.293    537.9121   2.292548   0.064501    691.150    684.9800   3.1333     6200.955   
5904.939   8.18792    37.2110    8.500000   645.039    563.5642   2.098457   0.040292    694.044    693.2555   3.2528     6200.955   
5904.787   8.21575    37.9339    8.500000   838.270    575.6284   1.921031   0.005439    701.326    702.1134   3.2421     6224.135   
5904.635   8.21575    37.3609    8.500000   989.293    577.3235   1.793087   -0.025233   716.401    711.1384   3.0751     6250.364   
5904.482   8.21575    36.9670    8.500000   1069.396   573.1278   1.726710   -0.046820   740.882    719.3259   2.7179     6200.345   
5904.330   8.24065    36.3160    8.500000   1074.537   573.4243   1.706175   -0.047350   773.625    726.0078   2.2997     6194.244   
5904.178   8.24504    36.5953    8.500000   1075.306   572.3425   1.705933   -0.049053   810.975    735.5426   1.9262     6206.444   
5904.025   8.24504    36.9971    8.500000   1073.983   575.8105   1.712957   -0.043815   863.374    753.6117   1.5896     6182.655   
5903.873   8.24504    37.4406    8.500000   1057.128   579.6414   1.738202   -0.035174   944.098    790.2791   1.2707     6173.505   
5903.721   8.26701    37.2630    8.500000   955.872    563.9879   1.800699   -0.037679   1060.697   847.6615   0.9691     6208.580   
5903.567   8.27434    37.2815    8.500000   772.750    530.5352   1.921582   -0.045718   1173.253   897.6335   0.7168     6221.694   
5903.415   8.20110    36.8350    8.500000   553.947    487.4448   2.108734   -0.049207   1243.962   916.7754   0.5506     6191.805   
5903.263   8.20110    36.5911    8.500000   372.563    451.9783   2.331468   -0.032376   1263.508   906.9802   0.4360     6192.415   
5903.110   8.20110    37.7810    8.500000   272.686    432.5068   2.506556   -0.006408   1248.829   894.1451   0.4135     6202.784   
5902.958   8.20110    38.7610    8.500000   258.340    433.4587   2.580826   0.006209    1231.368   893.8518   0.4626     6173.810   
5902.806   8.20110    38.5787    8.500000   260.758    431.3950   2.583420   0.000403    1237.453   913.3765   0.5326     6157.645   
5902.653   8.20110    36.9804    8.500000   263.743    427.5870   2.570460   -0.009200   1249.393   931.5397   0.5796     6169.845   
5902.501   8.18645    33.8701    8.500000   264.300    423.7204   2.561509   -0.017128   1252.756   934.3599   0.5937     6185.704   
5902.349   8.20110    30.4214    8.500000   265.148    424.3672   2.558124   -0.016508   1248.317   927.0884   0.5846     6154.899   
5902.196   8.20110    29.4044    8.500000   265.941    425.0042   2.556057   -0.015864   1226.885   914.6935   0.6079     6177.164   
