WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       FFDC       NFDC       RHOB       DRHO        NPHI       FCNL       NCNL       TENS       
M          GAPI       IN         CPS        CPS        G/CC       G/CC        %LS        CPS        CPS        LB         
4025.085   35.6000    17.59000   1258.200   613.7999   1.650000   -0.044000   20.25000   131.0000   287.3000   4323.000   
4024.933   35.3000    17.59000   1284.400   611.5000   1.630000   -0.051000   18.95000   134.9000   287.1000   4373.000   
4024.781   34.0000    17.59000   1304.200   607.7000   1.613000   -0.058000   17.77000   151.4000   312.7000   4416.000   
4024.628   31.8000    17.60000   1319.700   604.2000   1.603000   -0.058000   16.44000   163.7000   313.5000   4463.000   
4024.476   30.7000    17.59000   1307.400   601.7999   1.614000   -0.046000   15.36000   155.3000   322.7000   4508.000   
4024.323   31.7000    17.59000   1218.400   604.4000   1.668000   -0.022000   15.10000   153.4000   311.7000   4327.000   
4024.171   32.9000    17.59000   1068.500   610.7000   1.754000   -0.005000   15.99000   136.2000   295.0000   4451.000   
4024.019   33.1000    17.60000   984.500    613.4000   1.802000   -0.015000   17.89000   119.6000   292.0000   4469.000   
4023.866   32.6000    17.60000   1068.600   608.7000   1.756000   -0.046000   20.94000   95.0000    270.2000   4508.000   
4023.714   32.6000    17.58000   1260.000   600.4000   1.646000   -0.077000   25.31000   80.1000    239.6000   4567.000   
4023.562   32.7000    17.60000   1413.800   596.6000   1.551000   -0.094000   31.50000   74.2000    217.0000   4614.000   
4023.409   32.2000    17.58000   1469.900   596.0000   1.504000   -0.100000   37.16000   73.0000    234.3000   4666.000   
4023.256   32.0000    17.60000   1480.700   595.5000   1.489000   -0.103000   39.53000   73.5000    228.4000   4725.000   
4023.104   32.1000    17.57000   1496.300   595.4000   1.480000   -0.105000   39.74000   67.6000    212.7000   4777.000   
4022.952   32.0000    17.59000   1520.700   597.2999   1.469000   -0.107000   40.41000   65.6000    202.9000   4767.000   
4022.799   31.3000    17.60000   1546.300   600.9000   1.458000   -0.105000   42.17000   59.4000    206.8000   4635.000   
4022.647   30.3000    17.59000   1566.300   603.5000   1.452000   -0.103000   44.22000   58.8000    208.8000   4284.000   
4022.495   29.2000    17.59000   1581.600   605.4000   1.449000   -0.101000   46.18999   60.7000    197.0000   4157.000   
4022.342   28.4000    17.60000   1594.400   607.2999   1.445000   -0.101000   48.60000   53.4000    203.9000   4157.000   
4022.190   28.0000    17.59000   1602.100   607.9000   1.443000   -0.100000   52.53000   48.0000    200.9000   4244.000   
4022.037   27.8000    17.59000   1603.500   607.5000   1.443000   -0.099000   58.81000   50.0000    205.7000   4293.000   
4021.885   27.6000    17.60000   1602.700   608.2000   1.444000   -0.097000   66.12999   50.9000    195.0000   4330.000   
4021.732   28.5000    17.59000   1598.500   609.2000   1.448000   -0.095000   71.06999   50.0000    200.0000   4330.000   
4021.580   31.0000    17.60000   1579.900   608.4000   1.457000   -0.093000   71.62000   47.1000    201.9000   4328.000   
4021.428   33.6000    17.59000   1554.100   605.4000   1.468000   -0.093000   68.34000   57.8000    198.0000   4269.000   
4021.275   34.6000    17.59000   1529.300   601.2999   1.478000   -0.093000   61.83000   59.2000    218.8000   4256.000   
4021.123   33.2000    17.60000   1498.700   597.9000   1.489000   -0.093000   54.50000   65.3000    220.7000   4262.000   
4020.971   31.2000    17.58000   1461.400   596.2999   1.504000   -0.089000   49.71000   60.3000    207.0000   4322.000   
4020.818   30.0000    17.58000   1426.100   598.6000   1.520000   -0.083000   48.88000   57.0000    199.0000   4350.000   
4020.666   29.6000    17.60000   1409.100   604.1000   1.535000   -0.076000   50.71000   55.8000    210.0000   4348.000   
4020.513   30.1000    17.58000   1395.600   608.7000   1.549000   -0.070000   53.35000   55.0000    202.9000   4289.000   
4020.361   31.0000    16.58000   1378.500   608.6000   1.559000   -0.073000   57.79000   50.9000    208.8000   4281.000   
4020.208   31.5000    17.02000   1388.100   601.7999   1.552000   -0.086000   61.41000   50.9000    211.7000   4289.000   
4020.056   31.0000    17.61000   1431.100   591.1000   1.523000   -0.104000   64.45999   55.8000    206.9000   4334.000   
4019.904   30.8000    17.61000   1481.600   584.7999   1.487000   -0.115000   64.61000   58.4000    207.8000   4362.000   
4019.751   31.2000    17.60000   1512.200   588.5000   1.464000   -0.114000   60.47000   55.8000    207.8000   4376.000   
4019.599   31.5000    17.60000   1526.300   596.1000   1.458000   -0.108000   54.73000   64.7000    224.5000   4367.000   
4019.446   32.5000    17.61000   1536.700   599.6000   1.461000   -0.104000   48.81000   72.5000    201.9000   4375.000   
4019.294   36.6000    17.61000   1540.800   598.5000   1.463000   -0.105000   43.17000   68.6000    221.5000   4317.000   
4019.142   45.8000    17.60000   1542.300   597.1000   1.461000   -0.106000   38.10000   77.4000    217.6000   4297.000   
4018.989   58.5000    17.61000   1546.200   598.0000   1.460000   -0.102000   33.75999   86.2000    218.4000   4277.000   
4018.837   69.8000    17.60000   1538.900   600.5000   1.468000   -0.091000   30.29000   78.6000    234.6000   4297.000   
4018.685   75.8000    17.61000   1493.400   606.0000   1.499000   -0.070000   26.79000   100.0000   288.2000   4343.000   
4018.532   75.0000    17.42000   1395.500   614.7000   1.558000   -0.042000   21.54000   169.6000   497.0000   4373.000   
4018.380   68.1000    17.17000   1267.400   623.4000   1.638000   -0.015000   13.04000   517.4000   722.5000   4354.000   
4018.228   58.9000    16.88000   1158.100   630.5000   1.714000   0.005000    5.53000    593.1000   740.5000   4442.000   
4018.075   52.5000    16.76000   1103.900   636.5000   1.762000   0.014000    2.27000    594.0000   754.4000   4502.000   
4017.922   51.3000    16.63000   1100.900   640.9000   1.778000   0.017000    1.94000    608.9000   747.5000   4556.000   
4017.770   53.6000    16.64000   1117.600   644.1000   1.774000   0.017000    2.32000    586.4000   761.2999   4572.000   
4017.618   55.1000    16.63000   1132.900   645.6000   1.767000   0.018000    3.48000    427.7000   602.9000   4433.000   
4017.465   53.9000    16.62000   1145.200   640.6000   1.769000   0.021000    5.87000    245.6000   397.0000   4332.000   
4017.313   51.1000    14.09000   1097.800   617.2000   1.809000   0.027000    10.21000   256.8000   492.1000   4269.000   
4017.161   49.4000    9.78000    918.500    573.2999   1.924000   0.037000    14.34000   391.1000   551.4000   4290.000   
4017.008   50.2000    8.96000    653.800    527.2000   2.120000   0.045000    13.26000   449.5000   587.2999   4352.000   
4016.856   51.1000    8.89000    435.900    498.0000   2.332000   0.045000    9.85000    469.9000   580.1000   4377.000   
4016.703   50.3000    8.90000    348.500    488.5000   2.460000   0.036000    7.82000    430.6000   586.2000   4391.000   
4016.551   50.0000    8.90000    342.500    487.0000   2.487000   0.029000    7.52000    457.8000   601.9000   4396.000   
4016.398   52.0000    8.90000    347.500    486.0000   2.477000   0.026000    7.86000    446.6000   596.0000   4395.000   
4016.246   54.8000    8.90000    352.100    487.1000   2.466000   0.028000    8.23000    441.1000   578.4000   4365.000   
4016.094   56.5000    8.88000    355.400    493.0000   2.462000   0.037000    8.55000    424.5000   563.7000   4328.000   
4015.941   56.6000    8.82000    358.600    505.2000   2.466000   0.052000    8.79000    429.4000   565.6000   4357.000   
4015.789   55.4000    8.81000    362.800    516.4000   2.474000   0.065000    8.92000    408.8000   537.2000   4366.000   
4015.637   53.4000    8.80000    365.500    516.4000   2.484000   0.066000    9.07000    380.3000   501.9000   4395.000   
4015.484   52.2000    8.80000    362.300    504.0000   2.491000   0.054000    9.35000    359.8000   500.0000   4326.000   
4015.332   53.8000    8.81000    353.300    487.7000   2.492000   0.037000    9.67000    351.9000   497.0000   4337.000   
4015.179   56.9000    8.80000    342.800    478.2000   2.491000   0.026000    9.97000    346.5000   505.0000   4416.000   
4015.027   57.6000    8.81000    337.000    479.8000   2.488000   0.025000    10.08000   362.0000   513.4000   4455.000   
4014.875   55.4000    8.84000    339.900    487.7000   2.484000   0.032000    10.02000   370.1000   500.0000   4503.000   
4014.722   52.8000    8.84000    345.200    492.7000   2.485000   0.039000    9.91000    360.7000   510.6000   4489.000   
4014.570   53.0000    8.84000    344.900    490.6000   2.492000   0.041000    9.84000    354.3000   466.9000   4366.000   
4014.417   55.2000    8.84000    339.700    490.8000   2.499000   0.045000    9.97000    321.3000   466.9000   4298.000   
4014.265   56.9000    8.84000    341.100    505.6000   2.497000   0.059000    10.13000   331.0000   566.2999   4298.000   
4014.112   57.7000    8.84000    356.800    527.4000   2.491000   0.079000    9.91000    438.6000   527.4000   4269.000   
4013.960   58.8000    8.83000    372.500    534.1000   2.494000   0.089000    9.00000    448.0000   594.1000   4307.000   
4013.808   62.4000    8.82000    367.100    516.7999   2.513000   0.080000    7.46000    558.7999   600.0000   4354.000   
4013.655   68.1000    8.84000    340.800    491.6000   2.540000   0.061000    5.83000    561.7000   602.9000   4384.000   
4013.503   73.2000    8.85000    314.900    479.5000   2.557000   0.046000    4.63000    569.6000   612.7000   4391.000   
4013.351   76.7000    8.85000    310.900    491.0000   2.545000   0.051000    4.06000    555.7999   625.2000   4363.000   
4013.198   79.4000    8.88000    337.600    531.7999   2.504000   0.084000    4.08000    535.9000   626.7000   4293.000   
4013.046   81.5000    8.90000    394.300    596.5000   2.457000   0.143000    4.57000    529.7000   584.2999   4289.000   
4012.894   81.9000    8.90000    456.800    661.1000   2.443000   0.210000    5.33000    448.0000   513.7000   4352.000   
4012.741   80.1000    9.05000    481.600    696.4000   2.481000   0.262000    5.91000    421.5000   488.2000   4417.000   
4012.588   76.1000    9.19000    455.900    698.2999   2.555000   0.284000    6.17000    428.4000   504.9000   4413.000   
4012.436   71.9000    9.19000    411.300    675.7000   2.627000   0.272000    6.11000    416.6000   516.7999   4348.000   
4012.284   68.2000    9.18000    381.000    634.7999   2.659000   0.232000    5.87000    427.7000   517.0000   4305.000   
4012.131   64.0000    9.16000    365.800    583.1000   2.648000   0.175000    5.66000    459.0000   566.2999   4351.000   
4011.979   59.8000    9.05000    351.600    533.0000   2.614000   0.115000    5.72000    469.3000   582.1000   4397.000   
4011.827   56.7000    9.00000    338.400    501.2000   2.574000   0.069000    6.04000    438.6000   604.9000   4391.000   
4011.674   55.7000    8.99000    333.400    491.0000   2.536000   0.047000    6.88000    413.7000   598.0000   4364.000   
4011.521   56.2000    9.00000    338.900    494.8000   2.506000   0.042000    8.31000    398.0000   569.6000   4335.000   
4011.369   55.9000    8.97000    350.400    499.1000   2.485000   0.041000    9.78000    383.3000   528.4000   4338.000   
4011.217   53.8000    8.97000    359.900    498.2000   2.469000   0.041000    10.64000   368.6000   495.1000   4285.000   
4011.064   49.8000    8.97000    365.900    505.0000   2.458000   0.050000    10.51000   381.5000   480.3000   4278.000   
4010.912   46.1000    8.94000    371.900    519.1000   2.459000   0.067000    9.44000    417.6000   517.6000   4296.000   
4010.760   45.2000    8.92000    373.600    524.0000   2.476000   0.076000    7.76000    459.8000   567.9000   4343.000   
4010.607   47.7000    8.91000    363.500    511.3000   2.501000   0.069000    6.19000    518.4000   595.0000   4370.000   
4010.455   54.8000    8.92000    344.100    490.5000   2.522000   0.051000    5.31000    521.5000   609.7000   4370.000   
4010.303   68.8000    8.91000    326.200    476.7000   2.532000   0.035000    5.80000    365.0000   597.0000   4356.000   
4010.150   83.2000    8.90000    315.900    469.6000   2.538000   0.028000    8.08000    299.0000   553.2999   4347.000   
4009.998   83.8000    8.89000    306.800    465.3000   2.551000   0.028000    11.99000   270.8000   470.2000   4328.000   
4009.845   67.1000    8.90000    294.800    464.1000   2.571000   0.031000    15.97000   265.3000   446.6000   4338.000   
4009.693   45.1000    8.88000    285.500    465.1000   2.590000   0.034000    17.76000   279.6000   435.2000   4336.000   
4009.541   30.7000    8.90000    283.200    468.8000   2.598000   0.040000    16.81000   276.4000   436.6000   4331.000   
4009.388   24.6000    8.89000    287.700    481.2000   2.595000   0.053000    14.87000   269.3000   414.8000   4340.000   
4009.236   22.0000    8.90000    298.700    498.5000   2.589000   0.068000    12.87000   306.9000   482.5000   4318.000   
4009.083   23.0000    8.89000    311.100    503.3000   2.586000   0.071000    10.04000   517.4000   679.2000   4328.000   
4008.931   27.8000    8.91000    314.500    489.1000   2.583000   0.057000    6.30000    781.1000   710.7000   4380.000   
4008.778   34.0000    8.94000    306.700    469.2000   2.578000   0.035000    3.29000    675.4000   639.6000   4436.000   
4008.626   37.6000    8.92000    297.900    462.4000   2.568000   0.022000    2.41000    568.2999   641.1000   4455.000   
4008.474   37.3000    8.92000    299.200    467.1000   2.554000   0.021000    2.78000    568.6000   639.2000   4406.000   
4008.321   35.4000    8.91000    307.700    473.3000   2.541000   0.028000    3.67000    593.1000   643.1000   4360.000   
4008.169   34.7000    8.91000    316.500    482.2000   2.531000   0.039000    4.06000    630.2999   657.7999   4331.000   
4008.017   35.3000    8.90000    323.600    493.7000   2.529000   0.054000    3.80000    647.0000   662.7000   4285.000   
4007.864   36.0000    8.86000    327.800    503.1000   2.537000   0.066000    3.40000    631.2999   604.7999   4256.000   
4007.712   35.9000    8.87000    327.800    504.9000   2.550000   0.072000    3.17000    584.4000   569.6000   4248.000   
4007.559   36.5000    8.91000    322.200    498.8000   2.565000   0.069000    3.19000    533.2999   580.7000   4304.000   
4007.407   38.0000    8.91000    313.500    489.7000   2.576000   0.059000    3.40000    522.1000   575.2000   4340.000   
4007.254   40.8000    8.91000    306.600    479.6000   2.579000   0.047000    3.59000    559.4000   600.9000   4351.000   
4007.102   49.7000    8.92000    301.800    468.5000   2.577000   0.033000    3.55000    597.1000   657.7999   4355.000   
4006.950   66.6000    8.92000    295.900    461.5000   2.575000   0.026000    3.36000    631.2999   698.0000   4342.000   
