WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        ILM        LL3        DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       OHMM       OHMM       US/F       US         US         US         US         LB         
2701.339   0.0        0.10000    13.1       19.2       41.3048    0.0        0.0        0.0        0.0        0.0        3077.000   
2701.187   0.0        0.10000    13.4       19.9       39.0841    0.0        0.0        0.0        0.0        0.0        3127.000   
2701.034   0.0        0.10000    13.7       20.7       42.3643    0.0        0.0        0.0        0.0        0.0        3168.000   
2700.882   0.0        0.10000    14.0       21.7       58.2103    0.0        0.0        0.0        0.0        0.0        3161.000   
2700.729   0.0        0.10000    14.4       23.4       83.7529    0.0        0.0        0.0        0.0        0.0        3139.000   
2700.577   0.0        0.10000    14.8       25.6       109.3956   0.0        0.0        0.0        0.0        0.0        3130.000   
2700.424   0.0        0.10000    15.3       27.7       131.8256   0.0        0.0        0.0        0.0        0.0        3137.000   
2700.272   0.0        0.10000    15.8       28.9       146.8926   0.0        0.0        0.0        0.0        0.0        3109.000   
2700.120   0.0        0.10000    16.3       29.4       146.8926   0.0        0.0        0.0        0.0        0.0        3137.000   
2699.967   0.0        0.10000    16.6       29.0       132.7394   0.0        0.0        0.0        0.0        0.0        3124.000   
2699.815   0.0        0.10000    16.6       27.7       107.8947   0.0        0.0        0.0        0.0        0.0        3110.000   
2699.663   0.0        0.10000    16.2       25.9       90.1571    57.00000   0.0        0.0        0.0        0.0        3085.000   
2699.510   0.0        0.10000    15.4       24.0       73.9605    58.20000   0.0        352.0000   0.0        0.0        3080.000   
2699.358   0.0        0.10000    14.6       22.5       62.3735    59.40000   0.0        353.0000   0.0        0.0        3073.000   
2699.205   0.0        0.10000    14.0       20.9       52.2396    59.90000   0.0        356.0000   0.0        482.0000   3083.000   
2699.053   0.0        0.10000    13.6       19.5       46.9894    60.40000   0.0        350.0000   0.0        481.0000   3128.000   
2698.900   0.0        0.10000    13.3       18.5       48.3059    61.20000   0.0        346.0000   0.0        481.0000   3155.000   
2698.748   0.0        0.10000    13.0       18.0       58.3445    61.80000   0.0        354.0000   0.0        481.0000   3183.000   
2698.596   0.0        0.10000    12.8       18.1       66.6807    62.20000   0.0        356.0000   0.0        480.0000   3193.000   
2698.443   0.0        0.10000    12.7       18.6       69.1831    61.50000   0.0        361.0000   0.0        484.0000   3164.000   
2698.291   0.0        0.10000    12.6       19.2       61.2350    59.70000   0.0        369.0000   469.0000   482.0000   3110.000   
2698.139   0.0        0.10000    12.7       19.8       52.3600    59.20000   0.0        369.0000   478.0000   480.0000   3133.000   
2697.986   0.0        0.10000    12.8       20.0       46.3447    61.20000   362.0000   356.0000   482.0000   481.0000   3162.000   
2697.833   0.0        0.10000    13.1       20.1       44.6684    63.60001   364.0000   354.0000   476.0000   495.0000   3152.000   
2697.681   0.0        0.10000    13.5       20.0       45.3942    64.70000   368.0000   361.0000   471.0000   496.0000   3147.000   
2697.529   0.0        0.10000    13.9       19.9       46.5586    65.39999   364.0000   364.0000   481.0000   496.0000   3126.000   
2697.376   0.0        0.10000    14.3       20.0       47.9733    66.80000   351.0000   357.0000   493.0000   500.0000   3133.000   
2697.224   0.0        0.10000    14.7       20.3       52.2396    67.59999   364.0000   370.0000   496.0000   506.0000   3170.000   
2697.072   0.0        0.10000    15.2       21.1       58.0764    66.39999   367.0000   375.0000   507.0000   504.0000   3216.000   
2696.919   0.0        0.10000    15.7       22.1       54.5758    64.89999   369.0000   374.0000   497.0000   510.0000   3236.000   
2696.767   0.0        0.10000    16.4       22.9       46.8813    62.80000   383.0000   379.0000   498.0000   512.0000   3130.000   
2696.615   0.0        0.10000    17.3       23.2       37.8443    60.30000   387.0000   388.0000   503.0000   506.0000   3081.000   
2696.462   0.0        0.10000    18.3       23.4       39.0841    59.50000   386.0000   382.0000   507.0000   503.0000   3065.000   
2696.310   0.0        0.10000    19.3       23.7       40.7380    59.90000   385.0000   380.0000   499.0000   507.0000   3082.000   
2696.157   0.0        0.10000    20.2       23.9       40.8319    59.90000   383.0000   374.0000   483.0000   507.0000   3143.000   
2696.005   0.0        0.10000    21.0       23.9       37.4111    60.10000   376.0000   360.0000   490.0000   502.0000   3143.000   
2695.853   0.0        0.10000    21.6       23.8       35.0752    59.90000   358.0000   361.0000   490.0000   500.0000   3108.000   
2695.700   0.0        0.10000    22.3       23.6       34.0408    59.30000   359.0000   364.0000   490.0000   492.0000   3085.000   
2695.548   0.0        0.10000    22.8       23.2       34.2768    59.40000   363.0000   363.0000   489.0000   487.0000   3079.000   
2695.396   0.0        0.10000    23.0       22.9       33.0370    59.90000   361.0000   363.0000   478.0000   487.0000   3070.000   
2695.243   0.0        0.10000    22.9       22.2       31.3329    60.20000   361.0000   361.0000   476.0000   489.0000   3070.000   
2695.090   0.0        0.10000    22.3       21.0       29.0402    60.20000   363.0000   362.0000   488.0000   490.0000   3087.000   
2694.938   0.0        13.01000   21.4       19.7       26.3027    61.00000   360.0000   358.0000   480.0000   488.0000   3116.000   
2694.786   0.0        12.96000   20.3       18.6       23.3346    62.30000   371.0000   366.0000   476.0000   490.0000   3122.000   
2694.633   0.0        12.74000   19.3       17.6       21.7771    62.60000   368.0000   368.0000   482.0000   490.0000   3078.000   
2694.481   0.0        12.48000   18.3       16.4       21.8776    63.00000   363.0000   369.0000   483.0000   492.0000   3059.000   
2694.329   0.0        12.72000   17.4       15.1       22.3357    64.39999   367.0000   362.0000   483.0000   498.0000   3071.000   
2694.176   0.0        13.10000   16.7       14.2       22.5424    65.50000   369.0000   365.0000   483.0000   503.0000   3082.000   
2694.024   0.0        13.09000   16.2       13.9       21.9280    65.70000   369.0000   369.0000   486.0000   504.0000   3074.000   
2693.871   0.0        12.86000   15.8       14.0       21.0863    65.09999   368.0000   372.0000   490.0000   505.0000   3076.000   
2693.719   0.0        12.69000   15.7       14.4       20.5589    64.80000   370.0000   373.0000   494.0000   507.0000   3072.000   
2693.566   0.0        12.75000   15.8       15.0       20.6538    64.39999   376.0000   379.0000   508.0000   509.0000   3071.000   
2693.414   0.0        13.06000   16.0       15.8       20.9894    63.50000   376.0000   381.0000   507.0000   513.0000   3078.000   
2693.262   0.0        13.04000   16.4       17.0       24.3220    62.80000   384.0000   378.0000   502.0000   514.0000   3081.000   
2693.109   0.0        12.86000   17.2       18.3       33.8065    61.40000   386.0000   379.0000   495.0000   514.0000   3070.000   
2692.957   0.0        12.60000   18.1       19.6       42.7563    58.80000   383.0000   384.0000   497.0000   508.0000   3078.000   
2692.805   0.0        12.76000   18.8       21.0       46.8813    57.70000   374.0000   375.0000   501.0000   505.0000   3089.000   
2692.652   86.3000    12.96000   19.1       22.2       43.5512    58.80000   372.0000   374.0000   496.0000   503.0000   3100.000   
2692.500   90.1000    12.88000   19.3       22.5       43.4510    59.40000   373.0000   375.0000   482.0000   499.0000   3120.000   
2692.347   95.8000    12.87000   19.5       22.1       49.3174    59.90000   372.0000   373.0000   490.0000   494.0000   3171.000   
2692.195   102.3000   12.75000   19.4       21.4       53.0884    60.90000   360.0000   364.0000   488.0000   493.0000   3170.000   
2692.042   103.0000   12.65000   18.8       20.9       51.2861    61.10000   365.0000   366.0000   488.0000   495.0000   3120.000   
2691.890   94.0000    12.73000   18.0       20.7       45.6037    60.80000   367.0000   368.0000   488.0000   493.0000   3102.000   
2691.738   83.1000    12.51000   17.3       20.5       42.6580    60.80000   366.0000   364.0000   485.0000   489.0000   3067.000   
2691.585   79.4000    12.26000   16.8       20.1       40.5509    60.70000   367.0000   365.0000   474.0000   492.0000   3077.000   
2691.433   84.3000    12.30000   16.4       19.5       36.1410    60.20000   372.0000   372.0000   483.0000   488.0000   3075.000   
2691.281   92.5000    12.99000   16.2       18.8       30.6196    60.40000   363.0000   373.0000   486.0000   491.0000   3077.000   
2691.128   99.8000    13.07000   16.0       18.1       27.4157    61.10000   364.0000   360.0000   487.0000   496.0000   3088.000   
2690.976   106.0000   13.08000   16.0       17.5       28.9734    60.50000   367.0000   368.0000   489.0000   500.0000   3102.000   
2690.823   110.2000   12.84000   15.9       17.3       37.7572    58.80000   369.0000   373.0000   489.0000   492.0000   3099.000   
2690.671   111.8000   12.67000   15.9       17.5       46.8813    58.20000   368.0000   371.0000   491.0000   492.0000   3077.000   
2690.519   110.6000   12.63000   15.9       17.9       49.0908    58.30000   369.0000   370.0000   491.0000   495.0000   3059.000   
2690.366   107.3000   12.73000   15.8       18.3       46.7735    58.10000   372.0000   373.0000   492.0000   495.0000   3061.000   
2690.214   102.9000   12.44000   15.9       18.7       42.6580    58.00000   368.0000   370.0000   490.0000   494.0000   3071.000   
2690.062   98.1000    12.38000   16.1       19.1       36.3915    58.10000   371.0000   368.0000   484.0000   490.0000   3074.000   
2689.909   94.6000    12.50000   16.6       19.1       28.9068    58.70000   372.0000   367.0000   475.0000   491.0000   3071.000   
2689.756   93.8000    12.73000   17.1       18.7       22.8560    60.50000   369.0000   364.0000   484.0000   488.0000   3066.000   
2689.604   94.9000    13.10000   17.5       18.2       24.4343    62.80000   356.0000   358.0000   481.0000   489.0000   3071.000   
2689.452   95.8000    13.11000   17.9       18.2       27.0396    63.10000   367.0000   356.0000   480.0000   495.0000   3077.000   
2689.299   94.2000    12.97000   18.5       18.9       28.7078    61.70000   369.0000   368.0000   480.0000   493.0000   3071.000   
2689.147   90.7000    12.71000   19.2       20.3       29.5801    61.40000   367.0000   366.0000   489.0000   490.0000   3063.000   
2688.995   87.6000    12.59000   20.1       21.9       30.9742    61.50000   367.0000   366.0000   486.0000   495.0000   3098.000   
2688.842   85.2000    12.86000   21.0       23.1       39.9945    60.30000   373.0000   377.0000   492.0000   495.0000   3124.000   
2688.690   83.4000    13.00000   21.9       24.2       52.6017    59.00000   376.0000   377.0000   494.0000   495.0000   3130.000   
2688.537   81.0000    12.94000   22.4       24.8       57.5440    58.30000   380.0000   376.0000   488.0000   499.0000   3151.000   
2688.385   77.6000    12.70000   22.6       24.6       50.3501    58.00000   380.0000   375.0000   488.0000   500.0000   3124.000   
2688.232   76.6000    12.48000   22.4       23.3       36.3078    58.30000   373.0000   376.0000   488.0000   497.0000   3121.000   
2688.080   81.2000    12.82000   21.9       21.4       28.2488    59.60000   366.0000   372.0000   485.0000   494.0000   3119.000   
2687.928   90.8000    13.01000   21.1       19.7       25.2930    60.70000   365.0000   362.0000   483.0000   494.0000   3139.000   
2687.775   101.0000   12.98000   20.4       18.5       24.3781    60.70000   369.0000   367.0000   487.0000   500.0000   3152.000   
2687.623   107.5000   12.76000   19.6       17.9       23.8232    60.80000   364.0000   366.0000   488.0000   490.0000   3175.000   
2687.471   111.1000   12.54000   19.0       17.6       23.3884    61.40000   367.0000   362.0000   485.0000   491.0000   3136.000   
2687.318   113.8000   12.77000   18.4       17.6       24.2661    61.40000   371.0000   365.0000   485.0000   493.0000   3121.000   
2687.166   115.6000   13.04000   17.9       17.6       25.0611    60.70000   370.0000   370.0000   488.0000   490.0000   3136.000   
2687.013   114.2000   13.00000   17.3       17.5       25.8821    59.90000   371.0000   370.0000   489.0000   488.0000   3157.000   
2686.861   108.2000   12.86000   16.7       17.1       30.2691    59.50000   373.0000   372.0000   484.0000   494.0000   3122.000   
2686.708   99.8000    12.64000   16.1       16.6       33.7287    59.10000   374.0000   373.0000   480.0000   494.0000   3063.000   
2686.556   93.1000    12.73000   15.6       16.1       32.9610    59.40000   370.0000   371.0000   480.0000   494.0000   3065.000   
2686.404   91.7000    12.72000   15.1       15.6       26.6072    60.30000   363.0000   366.0000   476.0000   494.0000   3083.000   
2686.251   95.3000    12.83000   14.9       15.0       21.4783    61.40000   361.0000   362.0000   476.0000   495.0000   3086.000   
2686.099   99.5000    12.83000   14.7       14.4       22.5424    62.70000   358.0000   362.0000   494.0000   495.0000   3071.000   
2685.946   99.7000    12.75000   14.4       13.9       26.1216    63.80000   356.0000   366.0000   493.0000   491.0000   3115.000   
2685.794   95.7000    12.78000   14.2       13.8       29.3089    63.80000   367.0000   372.0000   494.0000   496.0000   3120.000   
2685.642   90.5000    13.08000   14.1       14.1       28.7078    63.10000   374.0000   375.0000   498.0000   495.0000   3099.000   
2685.489   85.4000    13.07000   14.4       14.8       28.0543    62.70000   377.0000   377.0000   498.0000   498.0000   3144.000   
2685.337   81.5000    12.90000   15.1       15.6       27.9898    62.70000   380.0000   380.0000   496.0000   501.0000   3150.000   
2685.185   79.4000    12.78000   16.0       16.5       31.9154    62.50000   381.0000   382.0000   495.0000   505.0000   3144.000   
2685.032   78.8000    12.84000   17.0       17.5       40.8319    62.10000   382.0000   377.0000   497.0000   507.0000   3125.000   
2684.880   77.9000    13.07000   18.1       19.2       53.3335    61.70000   377.0000   375.0000   494.0000   508.0000   3126.000   
2684.728   75.9000    12.77000   19.3       21.6       68.5488    61.00000   376.0000   376.0000   498.0000   509.0000   3157.000   
2684.575   75.3000    12.46000   20.5       24.7       72.2770    60.60000   371.0000   373.0000   505.0000   506.0000   3172.000   
2684.422   78.2000    12.40000   21.9       27.4       63.2412    60.90000   367.0000   366.0000   504.0000   506.0000   3139.000   
2684.270   86.4000    12.88000   23.4       28.4       47.8630    60.50000   372.0000   371.0000   499.0000   504.0000   3110.000   
2684.118   98.5000    13.09000   24.8       27.3       38.3707    59.30000   377.0000   376.0000   502.0000   494.0000   3124.000   
2683.965   112.0000   13.08000   25.7       25.4       37.7572    59.00000   377.0000   374.0000   495.0000   492.0000   3144.000   
2683.813   123.1000   13.04000   25.5       23.3       36.3078    59.40000   374.0000   372.0000   486.0000   497.0000   3152.000   
2683.661   128.6000   12.83000   24.5       21.3       32.8095    59.80000   369.0000   370.0000   482.0000   494.0000   3064.000   
2683.508   128.6000   12.60000   23.1       19.4       27.8612    60.20000   364.0000   368.0000   478.0000   492.0000   3043.000   
2683.356   125.1000   13.02000   21.7       18.0       24.7172    60.70000   363.0000   361.0000   477.0000   494.0000   3074.000   
2683.203   120.1000   13.11000   20.6       17.1       23.2274    61.30000   363.0000   363.0000   475.0000   496.0000   3087.000   
2683.051   114.3000   12.97000   19.7       16.6       21.8776    62.10000   362.0000   362.0000   491.0000   492.0000   3072.000   
2682.898   107.8000   12.73000   19.1       16.4       21.5278    62.80000   357.0000   363.0000   491.0000   495.0000   3057.000   
2682.746   103.0000   12.63000   18.9       16.5       22.6464    62.20000   367.0000   366.0000   495.0000   495.0000   3071.000   
2682.594   102.1000   12.93000   18.9       16.9       26.0615    60.70000   376.0000   376.0000   498.0000   492.0000   3080.000   
2682.441   104.6000   13.07000   19.1       17.8       29.1743    60.20000   376.0000   376.0000   493.0000   491.0000   3066.000   
2682.289   107.3000   13.04000   19.3       19.0       29.9226    60.60000   378.0000   377.0000   488.0000   498.0000   3061.000   
2682.137   107.4000   12.95000   19.5       20.1       30.1995    60.50000   376.0000   377.0000   483.0000   500.0000   3057.000   
2681.984   103.2000   12.70000   19.7       20.4       34.8337    60.20000   373.0000   377.0000   483.0000   500.0000   3057.000   
2681.832   93.8000    12.64000   19.8       19.9       38.2825    60.20000   368.0000   374.0000   483.0000   499.0000   3059.000   
2681.679   81.9000    13.02000   19.4       19.2       35.5631    60.50000   368.0000   369.0000   487.0000   500.0000   3073.000   
2681.527   72.7000    12.35000   18.5       18.5       26.2422    61.00000   364.0000   368.0000   495.0000   501.0000   3066.000   
2681.375   69.7000    12.36000   17.5       17.7       18.7499    62.00000   363.0000   365.0000   494.0000   499.0000   3059.000   
2681.222   71.5000    12.83000   16.9       16.8       17.4985    62.80000   368.0000   371.0000   492.0000   498.0000   3059.000   
2681.070   74.1000    12.99000   16.6       16.1       22.0293    62.20000   374.0000   374.0000   496.0000   494.0000   3060.000   
2680.917   75.0000    13.15000   16.4       16.1       32.8852    61.40000   374.0000   373.0000   498.0000   497.0000   3064.000   
2680.765   72.7000    12.87000   16.2       17.1       44.1570    61.20000   377.0000   373.0000   494.0000   498.0000   3086.000   
2680.612   67.9000    12.38000   15.9       18.9       54.3250    59.70000   376.0000   376.0000   487.0000   501.0000   3127.000   
2680.460   62.8000    12.32000   15.8       20.8       66.0694    57.20000   375.0000   377.0000   479.0000   498.0000   3161.000   
2680.308   58.1000    12.61000   15.9       22.3       76.3836    55.50000   372.0000   371.0000   481.0000   495.0000   3120.000   
2680.155   54.6000    12.74000   16.1       22.6       77.2681    55.50000   367.0000   364.0000   480.0000   494.0000   3108.000   
2680.003   52.1000    12.85000   16.2       22.2       66.8344    56.90000   365.0000   364.0000   489.0000   494.0000   3140.000   
2679.851   51.5000    12.69000   16.0       21.4       54.3250    58.70000   358.0000   362.0000   485.0000   483.0000   3174.000   
2679.698   53.3000    12.32000   15.6       20.6       49.3174    59.70000   363.0000   360.0000   476.0000   485.0000   3132.000   
2679.546   56.6000    12.51000   15.2       20.0       48.8652    59.80000   359.0000   358.0000   486.0000   481.0000   3107.000   
2679.394   59.6000    12.52000   14.9       19.5       51.5229    59.30000   358.0000   360.0000   486.0000   476.0000   3118.000   
2679.241   60.4000    12.49000   14.6       19.3       55.2077    58.90000   361.0000   362.0000   478.0000   475.0000   3146.000   
