WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        ILM        LL3         DT         TENS   
M          GAPI       IN         OHMM       OHMM       OHMM        US/F       LB     
3405.884   0.0        0.02000    255.3      78.0       252.9299    50.50000   3818   
3405.732   0.0        0.02000    263.0      77.8       254.6831    50.50000   3830   
3405.579   0.0        0.02000    270.4      79.4       256.4485    50.60000   3824   
3405.427   0.0        0.02000    283.1      83.8       257.0396    50.50000   3818   
3405.274   0.0        0.02000    289.1      89.5       257.6321    50.40000   3813   
3405.122   0.0        0.02000    272.9      94.4       261.8184    50.30000   3812   
3404.970   0.0        0.02000    272.9      95.7       269.1536    50.10000   3817   
3404.817   0.0        0.02000    288.4      94.8       274.7895    50.00000   3832   
3404.665   0.0        0.02000    305.5      95.1       274.1575    50.00000   3826   
3404.513   0.0        0.02000    281.8      96.6       271.0192    50.00000   3821   
3404.360   0.0        0.02000    262.4      97.5       271.6440    50.10000   3817   
3404.208   0.0        0.02000    254.7      96.4       281.8384    50.30000   3814   
3404.055   0.0        12.08000   260.0      93.8       293.0894    50.60000   3804   
3403.903   0.0        12.08000   260.6      90.4       294.4422    50.70000   3807   
3403.750   0.0        12.12000   249.5      86.9       290.4023    50.50000   3803   
3403.598   0.0        12.25000   248.9      85.3       287.0781    50.10000   3809   
3403.446   0.0        12.25000   265.5      85.9       291.0718    49.90000   3814   
3403.293   0.0        12.25000   278.0      87.9       299.9163    50.30000   3811   
3403.141   0.0        12.25000   279.9      90.2       308.3188    50.80000   3814   
3402.988   0.0        12.25000   289.7      91.6       320.6270    51.00000   3808   
3402.836   0.0        12.25000   305.5      93.3       326.5879    51.00000   3801   
3402.684   0.0        12.25000   312.6      95.9       332.6596    50.90000   3796   
3402.531   0.0        12.25000   296.5      98.9       338.0649    50.60000   3800   
3402.379   0.0        12.25000   283.1      100.7      352.3710    50.20000   3797   
3402.227   0.0        12.25000   284.4      100.9      366.4377    50.20000   3798   
3402.074   0.0        12.25000   310.5      100.0      378.4427    50.50000   3807   
3401.922   0.0        12.25000   311.2      99.3       382.8248    50.90000   3810   
3401.770   28.3000    12.25000   304.1      98.2       381.9443    51.10000   3813   
3401.617   18.3000    12.25000   287.1      96.6       378.4427    51.20000   3813   
3401.464   13.4000    12.25000   300.6      95.7       374.9731    51.10000   3824   
3401.312   18.7000    12.25000   306.2      95.9       370.6808    50.80000   3838   
3401.160   29.6000    12.25000   297.2      97.5       365.5948    50.50000   3839   
3401.007   34.9000    12.25000   287.1      99.3       359.7495    50.10000   3841   
3400.855   34.8000    12.25000   287.1      100.7      359.7495    49.80000   3821   
3400.703   35.1000    12.25000   303.4      101.6      363.0781    49.70000   3832   
3400.550   35.7000    12.25000   295.8      103.8      378.4427    49.70000   3807   
3400.398   36.2000    12.25000   289.7      106.9      402.7172    49.70000   3807   
3400.245   36.5000    12.26000   291.1      108.1      427.5630    50.10000   3802   
3400.093   36.8000    12.26000   291.7      105.2      421.6966    50.60000   3829   
3399.940   37.1000    12.27000   293.1      100.7      402.7172    50.50000   3830   
3399.788   37.4000    12.28000   276.7      98.6       385.4785    50.20000   3868   
3399.636   37.8000    12.28000   260.6      100.0      381.0659    50.00000   3841   
3399.483   38.2000    12.28000   273.5      101.4      382.8248    50.00000   3823   
3399.331   38.1000    12.29000   317.7      100.5      390.8410    50.00000   3828   
3399.179   37.5000    12.32000   364.8      99.1       407.3804    50.00000   3828   
3399.026   36.9000    12.30000   393.6      100.0      428.5486    50.00000   3823   
3398.874   37.4000    12.33000   350.8      103.8      448.7455    50.00000   3812   
3398.721   38.6000    12.34000   315.5      107.9      473.1514    49.70000   3820   
3398.569   39.3000    12.33000   299.9      110.9      488.6525    49.30000   3824   
3398.417   39.1000    12.32000   311.9      112.7      486.4073    49.00000   3817   
3398.264   38.3000    12.31000   322.8      113.0      478.6302    49.00000   3783   
3398.112   37.4000    12.31000   324.3      110.2      476.4311    49.10000   3798   
3397.959   36.4000    12.32000   312.6      105.2      481.9479    49.30000   3810   
3397.807   36.0000    12.31000   311.9      101.9      500.0347    49.30000   3871   
3397.654   36.0000    12.32000   319.9      100.9      524.8076    49.00000   3864   
3397.502   36.1000    12.32000   308.3      101.4      540.7544    48.90000   3819   
3397.350   36.0000    12.32000   289.1      101.9      535.7968    49.00000   3828   
3397.197   35.3000    12.32000   295.8      102.3      523.6006    49.00000   3881   
3397.045   35.4000    12.30000   303.4      103.0      498.8846    49.10000   3926   
3396.893   36.4000    12.31000   296.5      103.3      464.5154    49.50000   3864   
3396.740   37.5000    12.31000   281.2      102.6      429.5366    50.00000   3810   
3396.588   37.2000    12.28000   265.5      100.5      407.3804    49.80000   3772   
3396.436   36.1000    12.29000   270.4      97.7       393.5502    49.50000   3789   
3396.283   36.0000    12.29000   270.4      95.7       371.5353    49.70000   3812   
3396.130   36.1000    12.30000   279.9      95.5       343.5580    49.90000   3815   
3395.978   35.8000    12.30000   288.4      97.9       314.7749    49.60000   3859   
3395.826   34.9000    12.31000   279.3      103.3      292.4153    49.10000   3836   
3395.673   33.6000    12.31000   276.7      107.9      275.4229    49.10000   3826   
3395.521   33.3000    12.29000   287.1      107.2      266.6859    49.40000   3801   
3395.369   34.3000    12.42000   291.1      100.2      267.3007    49.90000   3794   
3395.216   36.1000    12.37000   302.0      92.9       272.8978    50.60000   3801   
3395.064   37.2000    12.34000   301.3      90.2       285.7591    51.00000   3799   
3394.911   36.9000    12.32000   299.2      92.3       303.3892    50.90000   3803   
3394.759   35.8000    12.29000   298.5      95.5       321.3661    50.80000   3805   
3394.606   35.7000    12.28000   299.2      95.7       322.1069    50.70000   3806   
3394.454   34.7000    12.28000   320.6      96.8       340.4083    50.20000   3806   
3394.302   34.8000    12.34000   365.6      95.9       349.9453    49.90000   3795   
3394.149   35.2000    12.29000   377.6      96.4       351.5605    49.70000   3803   
3393.997   35.0000    12.24000   349.1      98.9       348.3374    49.20000   3814   
3393.845   34.7000    12.27000   328.1      101.4      344.3500    48.50000   3827   
3393.692   35.6000    12.27000   343.6      103.0      343.5580    48.40000   3818   
3393.540   36.6000    12.30000   374.1      102.1      349.1404    49.40000   3815   
3393.387   36.7000    12.34000   362.2      99.1       352.3710    50.30000   3807   
3393.235   35.7000    12.34000   325.8      95.1       354.8135    50.40000   3827   
3393.083   34.6000    12.32000   295.1      92.5       353.1832    50.50000   3845   
3392.930   33.9000    12.32000   294.4      93.3       345.1438    50.30000   3832   
3392.778   33.9000    12.32000   311.2      97.7       334.9655    49.70000   3822   
3392.625   34.8000    12.33000   340.4      104.7      321.3661    49.10000   3809   
3392.473   35.8000    12.33000   346.7      110.4      319.1539    48.80000   3801   
3392.320   36.2000    12.30000   342.8      111.4      328.0954    48.60000   3805   
3392.168   35.8000    12.26000   342.8      109.1      339.6254    48.30000   3804   
3392.016   34.6000    12.25000   334.2      106.9      342.7679    48.40000   3817   
3391.863   33.6000    12.26000   297.2      107.2      332.6596    49.00000   3841   
3391.711   32.8000    12.25000   265.5      108.4      326.5879    49.60000   3842   
3391.559   32.4000    12.27000   259.4      107.2      325.8368    49.80000   3815   
3391.406   32.5000    12.29000   276.7      101.6      333.4265    49.60000   3804   
3391.254   33.1000    12.30000   303.4      93.8       335.7377    49.80000   3793   
3391.102   34.0000    12.32000   303.4      88.3       341.1930    50.10000   3809   
3390.949   34.3000    12.29000   291.1      87.7       358.9220    50.20000   3809   
3390.796   34.5000    12.35000   280.5      91.8       372.3918    50.20000   3796   
