WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP         GR         CALI       ILD        SN         TENS       
M          MV         GAPI       IN         OHMM       OHMM       LB         
4028.896   0.0        114.0000   9.38000    20.1       19.58845   4245.000   
4028.743   0.0        110.1000   9.24000    22.4       17.98871   4231.000   
4028.590   0.0        103.2000   8.97000    24.9       16.55770   4216.000   
4028.438   0.0        92.8000    9.19000    27.2       14.99685   4206.000   
4028.286   0.0        84.5000    9.04000    29.8       13.30454   4240.000   
4028.133   0.0        81.1000    8.98000    32.6       11.45513   4255.000   
4027.981   0.0        77.8000    8.97000    35.2       9.57194    4308.000   
4027.829   55.90000   69.1000    8.97000    37.5       8.03526    4355.000   
4027.676   55.40000   56.9000    9.16000    33.2       6.96626    4402.000   
4027.524   55.80000   46.8000    15.27000   24.3       6.28058    4435.000   
4027.371   55.20000   40.2000    17.60000   20.2       5.88844    4492.000   
4027.219   55.00000   35.5000    17.58000   22.9       5.66239    4508.000   
4027.066   54.80000   33.0000    17.59000   36.1       5.49541    4261.000   
4026.914   54.80000   32.7000    17.60000   61.7       5.24807    4200.000   
4026.762   53.80000   33.6000    17.59000   67.6       4.90908    4307.000   
4026.609   54.10000   34.2000    17.58000   65.3       4.46684    4361.000   
4026.457   54.60000   34.4000    17.58000   83.8       4.03645    4412.000   
4026.305   54.40000   35.2000    17.59000   162.6      3.64754    4464.000   
4026.152   54.00000   36.6000    17.60000   666.8      3.38844    4416.000   
4026.000   54.60000   37.8000    17.59000   100000.0   3.25837    4439.000   
4025.847   54.10000   38.4000    17.59000   62086.9    3.21366    4334.000   
4025.695   52.60000   38.0000    17.60000   100000.0   3.18420    4252.000   
4025.542   53.30000   37.1000    17.59000   100000.0   3.20627    4196.000   
4025.390   53.70000   36.0000    17.59000   100000.0   3.26588    4211.000   
4025.238   53.60000   35.5000    17.60000   100000.0   3.38844    4251.000   
4025.085   53.50000   35.6000    17.59000   100000.0   3.53997    4323.000   
4024.933   53.60000   35.3000    17.59000   461.3      3.68978    4373.000   
4024.781   53.80000   34.0000    17.59000   366.4      3.78443    4416.000   
4024.628   53.70000   31.8000    17.60000   1674.9     3.83707    4463.000   
4024.476   54.20000   30.7000    17.59000   100000.0   3.82825    4508.000   
4024.323   54.50000   31.7000    17.59000   100000.0   3.81944    4327.000   
4024.171   54.20000   32.9000    17.59000   100000.0   3.79315    4451.000   
4024.019   54.00000   33.1000    17.60000   100000.0   3.68978    4469.000   
4023.866   54.30000   32.6000    17.60000   100000.0   3.54813    4508.000   
4023.714   53.80000   32.6000    17.58000   100000.0   3.38844    4567.000   
4023.562   53.50000   32.7000    17.60000   100000.0   3.22849    4614.000   
4023.409   53.60000   32.2000    17.58000   100000.0   3.07610    4666.000   
4023.256   53.80000   32.0000    17.60000   6011.7     3.00608    4725.000   
4023.104   53.40000   32.1000    17.57000   89.3       2.97852    4777.000   
4022.952   53.80000   32.0000    17.59000   31.3       2.96483    4767.000   
4022.799   53.90000   31.3000    17.60000   18.2       2.96483    4635.000   
4022.647   53.70000   30.3000    17.59000   14.1       2.93765    4284.000   
4022.495   53.50000   29.2000    17.59000   12.8       2.92415    4157.000   
4022.342   54.00000   28.4000    17.60000   12.1       3.06902    4157.000   
4022.190   53.70000   28.0000    17.59000   10.9       3.35738    4244.000   
4022.037   53.70000   27.8000    17.59000   9.1        3.67282    4293.000   
4021.885   53.60000   27.6000    17.60000   7.5        4.02717    4330.000   
4021.732   53.90000   28.5000    17.59000   6.7        4.37522    4330.000   
4021.580   53.00000   31.0000    17.60000   6.4        4.56037    4328.000   
4021.428   52.00000   33.6000    17.59000   6.5        4.62381    4269.000   
4021.275   51.00000   34.6000    17.59000   6.5        4.65586    4256.000   
4021.123   50.30000   33.2000    17.60000   6.5        4.68813    4262.000   
4020.971   50.50000   31.2000    17.58000   6.4        4.70977    4322.000   
4020.818   51.10000   30.0000    17.58000   6.3        4.70977    4350.000   
4020.666   50.50000   29.6000    17.60000   6.8        4.70977    4348.000   
4020.513   50.20000   30.1000    17.58000   7.9        4.70977    4289.000   
4020.361   50.50000   31.0000    16.58000   8.2        4.70977    4281.000   
4020.208   50.20000   31.5000    17.02000   7.0        4.72063    4289.000   
4020.056   48.80000   31.0000    17.61000   5.7        4.77529    4334.000   
4019.904   48.40000   30.8000    17.61000   5.2        4.83059    4362.000   
4019.751   48.00000   31.2000    17.60000   5.2        4.90908    4376.000   
4019.599   47.00000   31.5000    17.60000   5.4        4.97737    4367.000   
4019.446   44.50000   32.5000    17.61000   5.5        5.05825    4375.000   
4019.294   42.70000   36.6000    17.61000   5.8        5.14044    4317.000   
4019.142   43.80000   45.8000    17.60000   6.2        5.29663    4297.000   
4018.989   44.50000   58.5000    17.61000   7.0        5.55904    4277.000   
4018.837   45.60000   69.8000    17.60000   8.2        6.01174    4297.000   
4018.685   45.30000   75.8000    17.61000   9.3        6.60693    4343.000   
4018.532   45.40000   75.0000    17.42000   10.2       7.32825    4373.000   
4018.380   45.10000   68.1000    17.17000   10.7       8.01678    4354.000   
4018.228   43.80000   58.9000    16.88000   11.2       8.66962    4442.000   
4018.075   40.80000   52.5000    16.76000   11.8       9.22571    4502.000   
4017.922   38.60000   51.3000    16.63000   12.4       9.61612    4556.000   
4017.770   37.50000   53.6000    16.64000   12.9       9.86279    4572.000   
4017.618   36.90000   55.1000    16.63000   13.5       10.04616   4433.000   
4017.465   36.10000   53.9000    16.62000   13.9       10.25652   4332.000   
4017.313   33.90000   51.1000    14.09000   13.7       10.69055   4269.000   
4017.161   31.00000   49.4000    9.78000    12.8       11.69499   4290.000   
4017.008   27.60000   50.2000    8.96000    12.0       13.30454   4352.000   
4016.856   24.90000   51.1000    8.89000    12.1       15.03142   4377.000   
4016.703   22.20000   50.3000    8.90000    13.2       16.74943   4391.000   
4016.551   19.10000   50.0000    8.90000    15.2       18.15516   4396.000   
4016.398   16.70000   52.0000    8.90000    16.4       19.01078   4395.000   
4016.246   15.50000   54.8000    8.90000    16.1       19.31968   4365.000   
4016.094   14.40000   56.5000    8.88000    15.0       19.45360   4328.000   
4015.941   14.10000   56.6000    8.82000    14.1       19.54339   4357.000   
4015.789   13.00000   55.4000    8.81000    13.8       19.58845   4366.000   
4015.637   12.20000   53.4000    8.80000    13.7       19.49844   4395.000   
4015.484   11.10000   52.2000    8.80000    13.5       19.31968   4326.000   
4015.332   10.50000   53.8000    8.81000    12.6       19.09853   4337.000   
4015.179   10.70000   56.9000    8.80000    11.5       18.79317   4416.000   
4015.027   11.00000   57.6000    8.81000    10.7       18.57804   4455.000   
4014.875   11.00000   55.4000    8.84000    10.4       18.40772   4503.000   
4014.722   11.40000   52.8000    8.84000    10.5       18.32314   4489.000   
4014.570   11.40000   53.0000    8.84000    10.6       18.28100   4366.000   
4014.417   11.90000   55.2000    8.84000    10.7       18.53532   4298.000   
4014.265   12.60000   56.9000    8.84000    11.0       18.96706   4298.000   
4014.112   14.40000   57.7000    8.84000    11.7       19.54339   4269.000   
4013.960   16.50000   58.8000    8.83000    12.7       20.18366   4307.000   
4013.808   18.80000   62.4000    8.82000    14.0       20.89296   4354.000   
4013.655   19.80000   68.1000    8.84000    15.2       21.47831   4384.000   
4013.503   19.80000   73.2000    8.85000    16.3       21.87762   4391.000   
4013.351   21.50000   76.7000    8.85000    17.2       22.18196   4363.000   
4013.198   22.10000   79.4000    8.88000    18.2       22.43882   4293.000   
4013.046   22.80000   81.5000    8.90000    18.7       22.64644   4289.000   
4012.894   22.40000   81.9000    8.90000    18.9       22.69865   4352.000   
