WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         MSFL       TT1        TT2        TT3        TT4        DT         ITT        ILD        ILM        TENS       
M          IN         GAPI       OHMM       US         US         US         US         US/F       MS         OHMM       OHMM       LB         
4010.607   9.75842    0.0        85.263     306.0000   300.0000   432.0000   428.0000   64.65883   0.0        18.184     20.408     4186.734   
4010.455   9.75842    0.0        85.263     306.0000   302.0000   432.0000   426.0000   64.98001   0.0        18.687     20.160     4184.295   
4010.303   9.75842    0.0        85.263     306.0000   298.0000   432.0000   423.0000   65.35962   0.0        19.078     19.497     4178.805   
4010.150   9.75842    0.0        85.263     306.0000   297.0000   433.0000   421.0000   65.40773   0.0        19.252     19.063     4169.655   
4009.998   9.75842    0.0        85.263     306.0000   297.0000   430.0000   419.0000   64.90007   0.0        19.331     19.004     4164.774   
4009.845   9.75842    0.0        85.263     306.0000   296.0000   433.0000   420.0000   63.83400   0.0        19.513     19.725     4172.095   
4009.693   9.75842    0.0        85.263     304.0000   299.0000   433.0000   424.0000   62.65167   0.0        19.938     21.165     4178.500   
4009.541   9.75842    0.0        85.263     302.0000   297.0000   431.0000   427.0000   61.80486   0.0        20.728     23.405     4191.005   
4009.388   9.75842    0.0        85.263     303.0000   296.0000   427.0000   434.0000   61.51743   0.0        22.044     26.476     4186.124   
4009.236   9.75842    0.0        85.263     306.0000   298.0000   421.0000   427.0000   61.72953   0.0        23.991     30.367     4183.075   
4009.083   9.75842    0.0        85.263     305.0000   299.0000   421.0000   420.0000   62.36425   0.0        26.607     34.151     4176.975   
4008.931   9.75842    0.0        85.263     301.0000   293.0000   420.0000   416.0000   63.02046   1.000000   29.240     35.781     4186.124   
4008.778   9.75842    0.0        85.263     298.0000   292.0000   417.0000   410.0000   63.31759   0.0        32.001     34.016     4195.274   
4008.626   9.75842    0.0        85.263     297.0000   292.0000   416.0000   403.0000   62.96561   0.0        35.229     31.127     4181.854   
4008.474   9.75842    0.0        85.263     299.0000   289.0000   414.0000   402.0000   61.72691   0.0        39.994     30.787     4195.885   
4008.321   9.75842    0.0        85.263     296.0000   286.0000   412.0000   403.0000   60.01846   0.0        47.260     34.087     4214.185   
4008.169   9.75842    0.0        85.263     293.0000   283.0000   409.0000   403.0000   58.45853   0.0        57.831     42.415     4231.875   
4008.017   9.75842    0.0        85.263     290.0000   283.0000   404.0000   403.0000   57.47650   0.0        69.135     62.189     4228.824   
4007.864   9.75842    0.0        85.263     287.0000   283.0000   401.0000   401.0000   57.23567   0.0        80.477     85.787     4202.899   
4007.712   9.75842    0.0        85.263     286.0000   281.0000   400.0000   401.0000   57.53176   0.0        91.056     88.306     4209.305   
4007.559   9.75842    4.5826     85.263     286.0000   280.0000   401.0000   401.0000   57.88575   0.0        99.039     79.826     4224.859   
4007.407   9.75842    13.1580    85.263     283.0000   281.0000   402.0000   401.0000   58.09116   0.0        106.061    80.613     4209.915   
4007.254   9.75842    23.1574    85.263     283.0000   280.0000   400.0000   400.0000   58.07069   0.0        107.581    82.025     4205.949   
4007.102   9.75842    30.0801    85.263     282.0000   280.0000   400.0000   400.0000   57.99283   0.0        103.923    101.175    4194.055   
4006.950   9.75842    32.4377    85.263     283.0000   280.0000   399.0000   399.0000   57.96106   0.0        112.297    111.584    4180.330   
4006.797   9.75842    30.9626    85.263     284.0000   279.0000   399.0000   400.0000   57.98105   0.0        114.029    94.950     4186.430   
4006.645   9.75842    30.4361    85.263     285.0000   279.0000   399.0000   398.0000   58.02612   0.0        101.628    69.708     4196.495   
4006.493   9.75842    31.8405    85.263     286.0000   281.0000   397.0000   392.0000   58.09529   0.0        87.005     56.927     4190.395   
4006.340   9.75842    33.3908    85.263     286.0000   279.0000   398.0000   390.0000   58.08400   0.0        79.992     48.814     4183.380   
4006.188   9.74866    35.5198    85.720     286.0000   281.0000   398.0000   400.0000   58.08351   0.0        73.955     47.297     4176.060   
4006.035   9.71537    40.2152    88.236     285.0000   283.0000   398.0000   396.0000   57.79093   0.0        76.819     54.175     4172.704   
4005.883   9.68238    51.6449    79.481     285.0000   283.0000   397.0000   396.0000   57.57434   0.0        77.020     65.831     4169.655   
4005.730   9.65856    67.9369    73.113     285.0000   284.0000   402.0000   395.0000   57.46053   0.0        71.098     72.445     4167.215   
