WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       MSFL       DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       US/F       US         US         US         US         LB         
3903.318   16.9000    8.29000    54.95      59.30000   291.0000   296.0000   409.0000   414.0000   4377.000   
3903.166   18.0000    8.24000    40.93      59.10000   293.0000   296.0000   409.0000   414.0000   4362.000   
3903.013   18.8000    8.18000    30.97      58.80000   294.0000   298.0000   409.0000   415.0000   4367.000   
3902.860   18.6000    8.15000    27.99      58.50000   294.0000   299.0000   409.0000   417.0000   4401.000   
3902.708   17.4000    8.19000    30.97      58.50000   293.0000   297.0000   413.0000   418.0000   4416.000   
3902.556   16.3000    8.15000    38.99      58.80000   294.0000   298.0000   413.0000   417.0000   4416.000   
3902.403   15.2000    8.18000    53.95      59.00000   295.0000   299.0000   414.0000   417.0000   4401.000   
3902.251   14.3000    8.23000    66.99      59.00000   295.0000   298.0000   413.0000   417.0000   4396.000   
3902.099   14.2000    8.18000    68.87      58.80000   294.0000   298.0000   413.0000   418.0000   4392.000   
3901.946   15.5000    8.21000    61.94      58.30000   295.0000   300.0000   412.0000   417.0000   4382.000   
3901.794   17.6000    8.23000    55.98      58.00000   293.0000   301.0000   411.0000   417.0000   4392.000   
3901.641   20.5000    8.20000    52.97      58.20000   293.0000   302.0000   411.0000   418.0000   4377.000   
3901.489   23.8000    8.18000    52.97      59.00000   294.0000   302.0000   409.0000   418.0000   4367.000   
3901.336   26.1000    8.25000    52.00      59.90000   294.0000   303.0000   407.0000   417.0000   4372.000   
3901.184   25.1000    8.20000    47.97      60.60000   293.0000   304.0000   412.0000   419.0000   4357.000   
3901.032   21.7000    8.16000    42.95      60.40000   291.0000   304.0000   415.0000   422.0000   4362.000   
3900.879   18.2000    8.17000    44.98      59.20000   294.0000   305.0000   416.0000   424.0000   4362.000   
3900.727   16.5000    8.20000    60.95      58.10000   296.0000   307.0000   417.0000   425.0000   4362.000   
3900.575   17.0000    8.21000    84.92      57.80000   297.0000   310.0000   417.0000   424.0000   4357.000   
3900.422   18.6000    8.20000    103.99     57.90000   299.0000   310.0000   417.0000   424.0000   4377.000   
3900.270   19.5000    8.30000    106.91     58.20000   299.0000   310.0000   417.0000   424.0000   4382.000   
3900.117   19.3000    8.35000    86.90      58.10000   300.0000   309.0000   417.0000   425.0000   4377.000   
3899.965   19.3000    8.49000    54.95      57.90000   298.0000   307.0000   419.0000   425.0000   4411.000   
3899.812   19.6000    8.38000    14.93      57.90000   297.0000   305.0000   422.0000   427.0000   4416.000   
3899.660   18.9000    8.23000    10.99      57.70000   296.0000   306.0000   418.0000   424.0000   4416.000   
3899.508   17.3000    8.16000    10.42      57.50000   296.0000   304.0000   416.0000   422.0000   4411.000   
3899.355   16.5000    8.18000    12.36      58.10000   296.0000   303.0000   415.0000   422.0000   4396.000   
3899.203   17.0000    8.09000    16.41      59.00000   296.0000   303.0000   412.0000   419.0000   4377.000   
3899.050   18.0000    8.13000    22.23      59.40000   295.0000   302.0000   413.0000   418.0000   4357.000   
3898.898   19.1000    8.06000    28.58      59.50000   295.0000   301.0000   414.0000   419.0000   4352.000   
3898.746   19.7000    8.12000    34.51      59.30000   297.0000   302.0000   415.0000   421.0000   4382.000   
3898.593   19.6000    8.17000    47.97      58.60000   297.0000   304.0000   415.0000   421.0000   4416.000   
3898.441   19.4000    8.08000    48.98      58.10000   298.0000   305.0000   416.0000   422.0000   4411.000   
3898.289   20.8000    8.10000    53.95      58.00000   298.0000   305.0000   417.0000   423.0000   4401.000   
3898.136   23.2000    8.13000    68.87      58.40000   300.0000   306.0000   416.0000   422.0000   4406.000   
3897.984   24.1000    8.25000    81.85      59.30000   300.0000   305.0000   416.0000   421.0000   4440.000   
3897.832   22.9000    8.06000    73.96      60.60000   298.0000   303.0000   417.0000   423.0000   4416.000   
3897.679   20.5000    7.90000    26.36      61.90000   297.0000   301.0000   418.0000   424.0000   4382.000   
3897.526   18.6000    7.81000    20.42      63.10000   296.0000   300.0000   418.0000   423.0000   4372.000   
3897.374   17.6000    7.87000    16.14      64.50000   298.0000   303.0000   419.0000   423.0000   4367.000   
3897.222   17.0000    7.68000    11.78      65.89999   298.0000   303.0000   421.0000   424.0000   4377.000   
3897.069   16.7000    7.47000    9.44       66.70000   300.0000   304.0000   428.0000   429.0000   4357.000   
3896.917   16.2000    7.51000    8.79       66.89999   304.0000   309.0000   432.0000   434.0000   4367.000   
3896.765   16.1000    7.48000    9.10       66.30000   311.0000   314.0000   436.0000   438.0000   4362.000   
3896.612   16.6000    7.49000    9.53       65.00000   316.0000   320.0000   441.0000   443.0000   4362.000   
3896.460   17.8000    7.41000    9.73       63.50000   318.0000   322.0000   443.0000   449.0000   4382.000   
3896.307   20.3000    7.38000    10.54      62.10000   320.0000   323.0000   447.0000   452.0000   4416.000   
3896.155   22.6000    7.28000    12.05      61.40000   321.0000   324.0000   449.0000   452.0000   4382.000   
3896.002   23.2000    7.35000    13.90      61.90000   321.0000   324.0000   449.0000   451.0000   4362.000   
3895.850   21.7000    7.48000    13.71      63.10000   320.0000   321.0000   446.0000   448.0000   4357.000   
3895.698   19.2000    7.48000    11.12      64.20000   317.0000   316.0000   444.0000   446.0000   4343.000   
3895.545   17.4000    7.47000    8.63       64.80000   312.0000   313.0000   443.0000   446.0000   4343.000   
3895.393   17.0000    7.41000    7.19       65.00000   309.0000   312.0000   443.0000   445.0000   4343.000   
3895.241   17.7000    7.39000    6.55       65.09999   308.0000   312.0000   440.0000   444.0000   4372.000   
3895.088   18.8000    7.36000    6.18       65.50000   309.0000   313.0000   440.0000   444.0000   4382.000   
3894.936   19.2000    7.39000    5.89       66.09999   310.0000   315.0000   439.0000   444.0000   4357.000   
3894.783   19.3000    7.38000    5.62       66.50000   314.0000   316.0000   440.0000   444.0000   4333.000   
3894.631   19.5000    7.29000    5.38       66.89999   315.0000   319.0000   444.0000   447.0000   4333.000   
3894.479   19.3000    7.31000    5.30       67.30000   318.0000   320.0000   448.0000   452.0000   4328.000   
3894.326   18.7000    7.33000    5.36       67.50000   320.0000   321.0000   451.0000   453.0000   4323.000   
3894.174   18.0000    7.24000    5.47       67.39999   319.0000   323.0000   453.0000   455.0000   4323.000   
3894.021   18.0000    7.26000    5.66       67.00000   321.0000   324.0000   454.0000   457.0000   4318.000   
3893.869   18.4000    7.17000    6.03       66.39999   323.0000   326.0000   454.0000   458.0000   4309.000   
3893.716   18.3000    7.25000    6.67       66.00000   325.0000   328.0000   456.0000   460.0000   4309.000   
3893.564   17.7000    7.28000    7.41       66.20000   325.0000   329.0000   457.0000   461.0000   4304.000   
3893.412   16.9000    7.35000    7.71       66.80000   325.0000   328.0000   456.0000   461.0000   4309.000   
3893.259   16.4000    7.42000    7.36       67.59999   324.0000   327.0000   457.0000   462.0000   4309.000   
3893.107   16.6000    7.52000    6.50       68.30000   323.0000   326.0000   457.0000   461.0000   4313.000   
3892.955   16.9000    7.41000    5.60       69.00000   322.0000   325.0000   459.0000   461.0000   4318.000   
3892.802   17.2000    7.38000    4.98       69.70000   321.0000   324.0000   459.0000   462.0000   4313.000   
3892.650   17.3000    7.23000    4.79       69.59999   322.0000   324.0000   461.0000   464.0000   4309.000   
3892.498   17.5000    7.22000    5.00       68.70000   323.0000   326.0000   462.0000   464.0000   4309.000   
3892.345   17.8000    7.40000    5.32       68.09999   326.0000   329.0000   462.0000   465.0000   4323.000   
3892.192   17.8000    7.34000    5.36       68.09999   328.0000   331.0000   463.0000   466.0000   4309.000   
3892.040   17.3000    7.34000    5.08       68.50000   329.0000   332.0000   463.0000   466.0000   4313.000   
3891.888   17.1000    7.39000    4.79       69.00000   329.0000   332.0000   464.0000   468.0000   4304.000   
3891.735   17.4000    7.32000    4.68       69.20000   329.0000   331.0000   466.0000   468.0000   4304.000   
3891.583   18.1000    7.33000    4.66       69.30000   328.0000   331.0000   466.0000   470.0000   4304.000   
3891.431   18.7000    7.31000    4.66       69.30000   328.0000   330.0000   467.0000   470.0000   4294.000   
3891.278   19.0000    7.37000    4.63       69.20000   327.0000   330.0000   467.0000   470.0000   4304.000   
