Lito            Codigo        Depth(m)        GR            RHOB        DT            SP
arenito         49.00       3173.12   6.2326E+001   2.6057E+000   6.4197E+001   3.9750E+001
arenito         49.00       3172.97   6.8023E+001   2.6171E+000   6.5978E+001   3.9750E+001
arenito         49.00       3172.82   6.9715E+001   2.6173E+000   6.8335E+001   3.9750E+001
arenito         49.00       3172.66   6.6612E+001   2.6084E+000   6.9062E+001   3.9683E+001
arenito         49.00       3172.51   5.9488E+001   2.5999E+000   6.6948E+001   3.9296E+001
arenito         49.00       3172.36   5.1096E+001   2.5895E+000   6.3375E+001   3.8545E+001
arenito         49.00       3172.21   4.2148E+001   2.5952E+000   6.0200E+001   3.7862E+001
arenito         49.00       3172.05   3.5757E+001   2.6054E+000   5.8502E+001   3.7360E+001
arenito         49.00       3171.90   3.0919E+001   2.6017E+000   5.7962E+001   3.6858E+001
arenito         49.00       3171.75   2.7712E+001   2.5997E+000   5.7682E+001   3.6571E+001
arenito         49.00       3171.60   2.5275E+001   2.6055E+000   5.7408E+001   3.6678E+001
arenito         49.00       3171.44   2.4067E+001   2.5982E+000   5.7293E+001   3.6282E+001
arenito         49.00       3171.29   2.4139E+001   2.6001E+000   5.7876E+001   3.5604E+001
arenito         49.00       3171.14   2.5892E+001   2.5850E+000   5.8837E+001   3.4954E+001
arenito         49.00       3170.99   2.9812E+001   2.5537E+000   5.9881E+001   3.4026E+001
arenito         49.00       3170.83   3.4397E+001   2.5584E+000   6.0650E+001   3.3200E+001
arenito         49.00       3170.68   3.7427E+001   2.5737E+000   6.0684E+001   3.2424E+001
arenito         49.00       3170.53   3.6558E+001   2.5812E+000   6.0639E+001   3.2173E+001
arenito         49.00       3170.38   3.5109E+001   2.5744E+000   6.0341E+001   3.1845E+001
arenito         49.00       3170.22   3.6682E+001   2.5459E+000   5.9963E+001   3.1500E+001
arenito         49.00       3170.07   4.0240E+001   2.5313E+000   6.0343E+001   3.1421E+001
arenito         49.00       3169.92   4.1430E+001   2.5330E+000   6.0926E+001   3.1250E+001
arenito         49.00       3169.77   3.8057E+001   2.5402E+000   6.0949E+001   3.1171E+001
arenito         49.00       3169.62   3.2675E+001   2.5616E+000   6.0405E+001   3.0839E+001
arenito         49.00       3169.46   2.8406E+001   2.5699E+000   5.9418E+001   3.0419E+001
arenito         49.00       3169.31   2.5214E+001   2.5843E+000   5.8958E+001   3.0086E+001
arenito         49.00       3169.16   2.4249E+001   2.5956E+000   5.8859E+001   2.9668E+001
arenito         49.00       3169.01   2.6525E+001   2.5980E+000   5.8908E+001   2.9250E+001
arenito         49.00       3168.85   3.1260E+001   2.5913E+000   5.9122E+001   2.8666E+001
arenito         49.00       3168.70   3.5377E+001   2.5816E+000   5.9823E+001   2.8416E+001
arenito         49.00       3168.55   3.6367E+001   2.5613E+000   6.0361E+001   2.8080E+001
arenito         49.00       3168.40   3.6071E+001   2.5482E+000   6.0905E+001   2.7750E+001
arenito         49.00       3168.24   3.6174E+001   2.5401E+000   6.1684E+001   2.7664E+001
arenito         49.00       3168.09   3.6736E+001   2.5439E+000   6.2174E+001   2.7326E+001
arenito         49.00       3167.94   3.7631E+001   2.5361E+000   6.2630E+001   2.6912E+001
arenito         49.00       3167.79   3.7622E+001   2.5290E+000   6.2711E+001   2.6573E+001
arenito         49.00       3167.63   3.5723E+001   2.5368E+000   6.1995E+001   2.6161E+001
arenito         49.00       3167.48   3.2279E+001   2.5506E+000   6.0867E+001   2.5820E+001
arenito         49.00       3167.33   2.9166E+001   2.5569E+000   5.9917E+001   2.5590E+001
arenito         49.00       3167.18   2.7255E+001   2.5668E+000   5.9493E+001   2.5841E+001
arenito         49.00       3167.02   2.5648E+001   2.5652E+000   5.9606E+001   2.6183E+001
arenito         49.00       3166.87   2.4327E+001   2.5723E+000   5.9907E+001   2.6592E+001
arenito         49.00       3166.72   2.3854E+001   2.5780E+000   5.9928E+001   2.6843E+001
arenito         49.00       3166.57   2.3742E+001   2.5765E+000   5.9695E+001   2.7093E+001
arenito         49.00       3166.41   2.3158E+001   2.5763E+000   5.9511E+001   2.7344E+001
arenito         49.00       3166.26   2.2163E+001   2.5838E+000   5.9418E+001   2.7690E+001
arenito         49.00       3166.11   2.1892E+001   2.5881E+000   5.9379E+001   2.8191E+001
arenito         49.00       3165.96   2.3568E+001   2.5850E+000   5.9861E+001   2.8596E+001
arenito         49.00       3165.81   2.7072E+001   2.5819E+000   6.0608E+001   2.8847E+001
arenito         49.00       3165.65   3.0776E+001   2.5751E+000   6.1160E+001   2.9097E+001
arenito         49.00       3165.50   3.3375E+001   2.5681E+000   6.1426E+001   2.9348E+001
arenito         49.00       3165.35   3.5284E+001   2.5628E+000   6.1651E+001   2.9500E+001
arenito         49.00       3165.20   3.9435E+001   2.5724E+000   6.1877E+001   2.9400E+001
arenito         49.00       3165.04   4.4016E+001   2.5690E+000   6.2043E+001   2.9350E+001
arenito         49.00       3164.89   4.4374E+001   2.5288E+000   6.2525E+001   2.9702E+001
arenito         49.00       3164.74   4.4180E+001   2.5213E+000   6.3012E+001   3.0203E+001
arenito         49.00       3164.59   4.3632E+001   2.5483E+000   6.3129E+001   3.0500E+001
arenito         49.00       3164.43   4.2535E+001   2.5596E+000   6.3088E+001   3.0397E+001
arenito         49.00       3164.28   4.1142E+001   2.5616E+000   6.2889E+001   3.0147E+001
arenito         49.00       3164.13   3.9016E+001   2.5518E+000   6.2465E+001   2.9688E+001
arenito         49.00       3163.98   3.6471E+001   2.5522E+000   6.2048E+001   2.9041E+001
arenito         49.00       3163.82   3.3204E+001   2.5569E+000   6.1782E+001   2.8539E+001
arenito         49.00       3163.67   3.0379E+001   2.5642E+000   6.1509E+001   2.8250E+001
arenito         49.00       3163.52   2.9455E+001   2.5617E+000   6.1452E+001   2.8037E+001
arenito         49.00       3163.37   2.8993E+001   2.5505E+000   6.1501E+001   2.7642E+001
arenito         49.00       3163.21   2.8854E+001   2.5354E+000   6.1671E+001   2.7392E+001
arenito         49.00       3163.06   2.8726E+001   2.5307E+000   6.2004E+001   2.7142E+001
arenito         49.00       3162.91   2.8299E+001   2.5290E+000   6.1812E+001   2.7000E+001
arenito         49.00       3162.76   2.6792E+001   2.5303E+000   6.1305E+001   2.7110E+001
arenito         49.00       3162.60   2.4680E+001   2.5457E+000   6.0653E+001   2.7250E+001
arenito         49.00       3162.45   2.2854E+001   2.5764E+000   5.9983E+001   2.7250E+001
arenito         49.00       3162.30   2.1577E+001   2.6069E+000   5.9548E+001   2.7250E+001
arenito         49.00       3162.15   2.0912E+001   2.6267E+000   5.9656E+001   2.7250E+001
arenito         49.00       3162.00   2.1046E+001   2.6142E+000   6.0283E+001   2.7137E+001
arenito         49.00       3161.84   2.1490E+001   2.5973E+000   6.1064E+001   2.7000E+001
arenito         49.00       3161.69   2.1806E+001   2.6041E+000   6.1493E+001   2.6885E+001
arenito         49.00       3161.54   2.2613E+001   2.6039E+000   6.1174E+001   2.6750E+001
arenito         49.00       3161.39   2.3666E+001   2.5836E+000   6.0604E+001   2.6982E+001
arenito         49.00       3161.23   2.4544E+001   2.5591E+000   6.0182E+001   2.7601E+001
arenito         49.00       3161.08   2.5079E+001   2.5561E+000   6.0161E+001   2.7883E+001
arenito         49.00       3160.93   2.5419E+001   2.5507E+000   6.0550E+001   2.7750E+001
arenito         49.00       3160.78   2.5720E+001   2.5418E+000   6.0898E+001   2.7750E+001
arenito         49.00       3160.62   2.5592E+001   2.5623E+000   6.1026E+001   2.7631E+001
arenito         49.00       3160.47   2.5529E+001   2.5627E+000   6.1050E+001   2.7500E+001
arenito         49.00       3160.32   2.6562E+001   2.5373E+000   6.1429E+001   2.7621E+001
arenito         49.00       3160.17   2.7958E+001   2.5271E+000   6.1998E+001   2.7750E+001
arenito         49.00       3160.01   2.9561E+001   2.5255E+000   6.2604E+001   2.7872E+001
arenito         49.00       3159.86   3.1885E+001   2.5285E+000   6.3366E+001   2.8000E+001
arenito         49.00       3159.71   3.5332E+001   2.5300E+000   6.3788E+001   2.8000E+001
arenito         49.00       3159.56   3.9799E+001   2.5300E+000   6.3813E+001   2.8000E+001
arenito         49.00       3159.40   4.2142E+001   2.5310E+000   6.3764E+001   2.8000E+001
arenito         49.00       3159.25   4.4842E+001   2.5475E+000   6.3801E+001   2.8188E+001
arenito         49.00       3159.10   4.5966E+001   2.5505E+000   6.3764E+001   2.8250E+001
arenito         49.00       3158.95   4.4599E+001   2.5445E+000   6.3419E+001   2.8250E+001
arenito         49.00       3158.79   4.0639E+001   2.5476E+000   6.2954E+001   2.8123E+001
arenito         49.00       3158.64   3.6245E+001   2.5535E+000   6.2386E+001   2.7744E+001
arenito         49.00       3158.49   3.2460E+001   2.5479E+000   6.1778E+001   2.7114E+001
arenito         49.00       3158.34   2.9550E+001   2.5507E+000   6.1463E+001   2.6621E+001
arenito         49.00       3158.19   2.7647E+001   2.5596E+000   6.1140E+001   2.6240E+001
arenito         49.00       3158.03   2.6849E+001   2.5610E+000   6.0699E+001   2.5739E+001
arenito         49.00       3157.88   2.8073E+001   2.5547E+000   6.0514E+001   2.5369E+001
arenito         49.00       3157.73   3.2334E+001   2.5469E+000   6.0899E+001   2.5646E+001
arenito         49.00       3157.58   3.7953E+001   2.5424E+000   6.1481E+001   2.6132E+001
arenito         49.00       3157.42   4.1330E+001   2.5464E+000   6.2153E+001   2.6250E+001
arenito         49.00       3157.27   4.1425E+001   2.5525E+000   6.2647E+001   2.6250E+001
arenito         49.00       3157.12   3.8930E+001   2.5487E+000   6.2290E+001   2.6250E+001
arenito         49.00       3156.97   3.5042E+001   2.5385E+000   6.1510E+001   2.5845E+001
arenito         49.00       3156.81   3.1521E+001   2.5254E+000   6.0669E+001   2.5364E+001
arenito         49.00       3156.66   2.8594E+001   2.5135E+000   5.9657E+001   2.4977E+001
arenito         49.00       3156.51   2.6029E+001   2.5112E+000   5.9196E+001   2.4476E+001
arenito         49.00       3156.36   2.4154E+001   2.5163E+000   5.9379E+001   2.4113E+001
arenito         49.00       3156.20   2.3023E+001   2.5223E+000   5.9619E+001   2.3723E+001
arenito         49.00       3156.05   2.2363E+001   2.5294E+000   6.0005E+001   2.3361E+001
arenito         49.00       3155.90   2.2632E+001   2.5308E+000   6.0135E+001   2.3111E+001
arenito         49.00       3155.75   2.5175E+001   2.5492E+000   6.0159E+001   2.2860E+001
arenito         49.00       3155.59   2.9350E+001   2.5650E+000   6.0355E+001   2.2750E+001
arenito         49.00       3155.44   3.3652E+001   2.5610E+000   6.0634E+001   2.2608E+001
arenito         49.00       3155.29   3.5898E+001   2.5506E+000   6.1449E+001   2.2500E+001
arenito         49.00       3155.14   3.5792E+001   2.5370E+000   6.2935E+001   2.2214E+001
arenito         49.00       3154.98   3.5041E+001   2.5316E+000   6.3919E+001   2.1713E+001
arenito         49.00       3154.83   3.4765E+001   2.5320E+000   6.3571E+001   2.0924E+001
arenito         49.00       3154.68   3.4580E+001   2.5419E+000   6.2129E+001   2.0065E+001
arenito         49.00       3154.53   3.3897E+001   2.5718E+000   6.0142E+001   1.9750E+001
arenito         49.00       3154.38   3.3566E+001   2.6126E+000   5.8323E+001   2.0043E+001
arenito         49.00       3154.22   3.4038E+001   2.6382E+000   5.7395E+001   2.0544E+001
arenito         49.00       3154.07   3.4480E+001   2.6310E+000   5.7329E+001   2.0750E+001
