Rock Code Depth(m) RHOB GR SP DT
Calciferous_Sandstone 8.0 740.0 2.4525415729388023 37.9782930004273 -54.83209079916954 113.35421006222731
Calciferous_Sandstone 8.0 750.0 2.3389759308542017 49.85811207806595 -45.247552537908156 117.33908756633949
Calciferous_Sandstone 8.0 760.0 2.520456126150961 31.066061485077313 -57.69352035001752 190.98043800527503
Calciferous_Sandstone 8.0 770.0 2.427110626983908 46.34884610387757 -55.265463049524065 134.06262999357537
Calciferous_Sandstone 8.0 780.0 2.5248252243336293 34.31534549966645 -46.37763756526474 191.59144993048167
Calciferous_Sandstone 8.0 790.0 2.6456434519523504 43.788732749437465 -58.33133730048007 132.78705993754284
Calciferous_Sandstone 8.0 800.0 2.683956271510941 40.964614605938564 -50.63182036822067 157.36603110105597
Calciferous_Sandstone 8.0 810.0 2.430308339113665 49.45831109051817 -73.6503940005747 145.83331586888903
Calciferous_Sandstone 8.0 820.0 2.5291346962970667 48.746294825806075 -65.13671932489464 155.93186293785885
Calciferous_Sandstone 8.0 830.0 2.537874204904069 25.872636941139522 -67.84181662742739 109.71017624458936
Calciferous_Sandstone 8.0 840.0 2.4458719834940847 34.02628165905654 -54.06086179039188 115.23310489025452
Calciferous_Sandstone 8.0 850.0 2.56478074932344 46.689486254978625 -43.27393718903475 148.10314962457716
Calciferous_Sandstone 8.0 860.0 2.538581697674576 47.19695771042158 -65.61915034117554 119.58405981559171
Calciferous_Sandstone 8.0 870.0 2.4112932373277336 55.83040595808588 -63.04116290952596 123.9196123422023
Calciferous_Sandstone 8.0 880.0 2.523384065810512 45.12932525081515 -43.62317107781597 153.18103944472003
Calciferous_Sandstone 8.0 890.0 2.3930410168671816 43.33028731665485 -66.81888456433293 152.60353934048047
Calciferous_Sandstone 8.0 900.0 2.706540385017361 42.88580631354566 -82.02691605090232 142.95724628191255
Calciferous_Sandstone 8.0 910.0 2.662533479159774 39.103363168431905 -75.50296884168074 131.38573237752908
Calciferous_Sandstone 8.0 920.0 2.369212249829921 40.81085483409159 -55.06737239406477 151.37826011416058
Calciferous_Sandstone 8.0 930.0 2.5858457751679778 25.03351760318397 -64.48077852221888 135.1961760637865
Calciferous_Sandstone 8.0 940.0 2.488131988178065 47.12903700639942 -48.26306520242952 101.61565235267278
Calciferous_Sandstone 8.0 950.0 2.6929527435576355 35.62311196513974 -69.39538363828373 116.55274624389828
Calciferous_Sandstone 8.0 960.0 2.4789702070374906 42.287117111411916 -57.85962407084277 162.52228601972877
Calciferous_Sandstone 8.0 970.0 2.473151545842745 39.10439724655448 -65.14985445134289 187.93889720465504
Calciferous_Sandstone 8.0 980.0 2.662432915511121 38.014195049558495 -57.630284619964506 122.2303343511972
Calciferous_Sandstone 8.0 990.0 2.530976298474402 22.954588306308757 -39.03451146732814 133.67915602058366
Calciferous_Sandstone 8.0 1000.0 2.6403160407108714 53.28901342961957 -53.79103612617182 206.0144721877784
Calciferous_Sandstone 8.0 1010.0 2.5413533067001297 35.706846680481526 -57.22885385046254 117.628661492599
Calciferous_Sandstone 8.0 1020.0 2.508248856316591 36.25179144878511 -59.03661245711174 128.33953166313105
Calciferous_Sandstone 8.0 1030.0 2.522949525797036 30.109062928463985 -59.31762852676989 162.06198612301085
Calciferous_Sandstone 8.0 1040.0 2.572961542645664 37.912240347126996 -61.518977739184024 209.91817670380226
Calciferous_Sandstone 8.0 1050.0 2.4538500539287837 31.587076854827433 -71.55924372160976 141.008801809383
Calciferous_Sandstone 8.0 1060.0 2.564770805277649 23.355678652856145 -53.40064430365956 138.3584567004173
Calciferous_Sandstone 8.0 1070.0 2.4540790342849763 54.76083030990799 -69.40701169793532 116.14101413342951
