Rock Code Depth1(m) RHOB GR SP DT
FOLHELHO 57.0 3984.8520000000003 2.624 123.8 49.1 57.6
FOLHELHO 57.0 3985.0040000000004 2.612 118.1 48.3 57.2
FOLHELHO 57.0 3985.157 2.597 105.7 48.0 57.1
FOLHELHO 57.0 3985.309 2.588 93.4 48.1 57.6
FOLHELHO 57.0 3985.461 2.587 86.9 47.6 58.3
FOLHELHO 57.0 3985.614 2.589 85.0 47.4 58.6
FOLHELHO 57.0 3985.7659999999996 2.592 84.8 47.2 58.7
FOLHELHO 57.0 3985.9179999999997 2.595 83.7 47.1 58.8
ARENITO 49.0 3986.071 2.604 79.1 46.5 58.7
ARENITO 49.0 3986.223 2.617 71.9 46.5 58.5
ARENITO 49.0 3986.375 2.632 65.1 46.6 58.4
ARENITO 49.0 3986.528 2.644 61.2 45.4 58.2
ARENITO 49.0 3986.6809999999996 2.652 60.5 45.6 57.4
ARENITO 49.0 3986.833 2.652 62.1 45.7 56.6
ARENITO 49.0 3986.985 2.648 64.3 45.8 56.2
ARENITO 49.0 3987.138 2.644 63.9 45.6 56.1
ARENITO 49.0 3987.29 2.641 61.4 46.3 55.9
ARENITO 49.0 3987.442 2.635 60.2 45.5 55.9
ARENITO 49.0 3987.595 2.625 61.9 44.8 56.0
ARENITO 49.0 3987.748 2.613 67.6 45.3 56.2
ARENITO 49.0 3987.9 2.6 74.3 46.2 57.1
ARENITO 49.0 3988.052 2.594 75.7 46.3 58.3
ARENITO 49.0 3988.205 2.595 70.3 46.5 58.6
ARENITO 49.0 3988.357 2.597 64.2 46.7 58.0
ARENITO 49.0 3988.509 2.596 63.2 47.6 57.0
ARENITO 49.0 3988.6620000000003 2.598 65.6 47.0 56.9
ARENITO 49.0 3988.8140000000003 2.608 68.0 47.8 57.4
ARENITO 49.0 3988.966 2.626 70.1 48.5 57.8
ARENITO 49.0 3989.119 2.645 70.9 49.2 57.9
ARENITO 49.0 3989.2709999999997 2.664 69.3 49.6 58.0
ARENITO 49.0 3989.4240000000004 2.672 65.8 51.6 57.6
ARENITO 49.0 3989.5759999999996 2.666 63.7 52.3 56.7
ARENITO 49.0 3989.7290000000003 2.653 66.9 52.7 55.3
ARENITO 49.0 3989.881 2.64 77.6 54.0 54.1
FOLHELHO 57.0 3990.033 2.634 91.9 54.9 54.1
FOLHELHO 57.0 3990.1859999999997 2.636 101.6 55.3 56.0
FOLHELHO 57.0 3990.3379999999997 2.644 103.7 54.8 58.1
FOLHELHO 57.0 3990.491 2.653 103.4 55.3 58.9
FOLHELHO 57.0 3990.643 2.658 105.7 55.1 59.1
FOLHELHO 57.0 3990.795 2.654 109.6 55.1 59.4
FOLHELHO 57.0 3990.948 2.646 110.9 56.0 59.9
FOLHELHO 57.0 3991.1 2.64 110.0 55.6 60.3
FOLHELHO 57.0 3991.252 2.636 108.7 55.9 60.5
FOLHELHO 57.0 3991.405 2.635 109.3 55.7 60.3
FOLHELHO 57.0 3991.5570000000002 2.639 112.6 55.8 59.9
FOLHELHO 57.0 3991.71 2.645 116.2 54.1 59.4
FOLHELHO 57.0 3991.862 2.645 116.5 53.7 59.4
ARENITO 49.0 3992.015 2.626 112.8 53.2 60.1
ARENITO 49.0 3992.167 2.59 109.0 51.7 61.2
ARENITO 49.0 3992.3190000000004 2.556 104.6 49.9 62.0
ARENITO 49.0 3992.472 2.54 93.8 48.8 61.8
ARENITO 49.0 3992.6240000000003 2.541 74.7 47.7 61.0
ARENITO 49.0 3992.776 2.548 55.0 45.9 60.0
ARENITO 49.0 3992.929 2.553 43.8 45.6 58.9
ARENITO 49.0 3993.0820000000003 2.553 44.0 44.3 58.5
ARENITO 49.0 3993.2340000000004 2.542 51.7 42.3 58.8
ARENITO 49.0 3993.386 2.526 60.3 40.8 59.0
ARENITO 49.0 3993.539 2.513 64.3 40.3 59.0
ARENITO 49.0 3993.691 2.507 60.6 39.7 59.2
ARENITO 49.0 1250.1372 2.3166 45.79 66.1334 86.3642
ARENITO 49.0 1250.2896 2.297 46.5694 66.3841 87.0117
ARENITO 49.0 1250.442 2.2813 46.4772 66.5 87.4534
ARENITO 49.0 1250.5944 2.267 45.9735 65.958 87.7594
ARENITO 49.0 1250.7468 2.2576 45.1753 64.5481 88.1736
ARENITO 49.0 1250.8992 2.254 44.4782 63.2032 88.5391
ARENITO 49.0 1251.0516 2.2556 44.1169 62.8874 88.9359
ARENITO 49.0 1251.204 2.2636 44.3882 63.1381 89.2961
ARENITO 49.0 1251.3564 2.2634 45.8966 63.3888 89.6987
ARENITO 49.0 1251.5088 2.2596 48.2832 63.7785 89.9162
ARENITO 49.0 1251.6612 2.2684 50.713 64.4199 90.0531
ARENITO 49.0 1251.8136 2.2654 53.6751 65.3126 90.7106
ARENITO 49.0 1251.966 2.2625 57.7685 66.0327 91.2488
FOLHELHO 57.0 1252.1184 2.2603 64.1838 66.392 90.5839
FOLHELHO 57.0 1252.2708 2.248 72.6777 66.5 88.5647
FOLHELHO 57.0 1252.4232 2.2254 83.2868 66.6433 84.951
FOLHELHO 57.0 1252.5756 2.1842 98.4939 67.0378 80.8213
FOLHELHO 57.0 1252.728 2.1393 115.9298 67.3946 77.9175
FOLHELHO 57.0 1252.8804 2.0848 127.3883 67.7906 82.4949
FOLHELHO 57.0 1253.0328 1.999 122.7707 68.146 93.0704
FOLHELHO 57.0 1253.1852 1.9453 102.4949 68.3967 104.728
FOLHELHO 57.0 1253.3376 1.9776 82.5266 68.7944 107.0256
FOLHELHO 57.0 1253.49 2.0711 71.3457 69.2959 98.3325
FOLHELHO 57.0 1253.6424 2.2301 66.0417 69.6486 87.5976
FOLHELHO 57.0 1253.7948 2.4364 64.8204 70.0486 79.0748
FOLHELHO 57.0 1253.9472 2.5476 65.9907 70.8499 77.1674
FOLHELHO 57.0 1254.0996 2.5664 68.4097 71.8519 79.1562
FOLHELHO 57.0 1254.252 2.5607 69.9815 72.5524 80.2887
FOLHELHO 57.0 1254.4044 2.522 69.9293 72.75 81.2241
FOLHELHO 57.0 1254.5568 2.4628 69.0829 72.4448 84.3594
FOLHELHO 57.0 1254.7092 2.4139 68.1228 71.7903 89.0209
FOLHELHO 57.0 1254.8616 2.3875 66.9911 70.7313 90.5031
FOLHELHO 57.0 1255.014 2.2976 65.4817 70.25 88.9596
FOLHELHO 57.0 1255.1664 2.2932 64.0145 69.6295 84.7896
FOLHELHO 57.0 1255.3188 2.4236 63.4091 69.0941 78.9208
FOLHELHO 57.0 1255.4712 2.4906 63.3527 69.0 77.324
FOLHELHO 57.0 1255.6236 2.4821 62.929 68.843 79.3101
FOLHELHO 57.0 1255.776 2.4718 62.1106 68.4345 81.1011
FOLHELHO 57.0 1255.9284 2.444 59.9742 68.4084 81.761
FOLHELHO 57.0 1256.0808 2.408 56.3542 68.6591 81.0104
FOLHELHO 57.0 1256.2332 2.4081 52.2965 68.9098 79.9996
FOLHELHO 57.0 1256.3856 2.4195 50.451 69.1605 79.2603
