Lito            Codigo        Depth(m)        GR            RHOB        DT            SP
arenito         49.0        3169.6152        32.6753        2.5616        60.4046        30.8391
arenito         49.0        3169.4628        28.4060        2.5699        59.4181        30.4187
arenito         49.0        3169.3104        25.2142        2.5843        58.9582        30.0861
arenito         49.0        3169.1580        24.2490        2.5956        58.8590        29.6677
arenito         49.0        3169.0056        26.5254        2.5980        58.9083        29.2503
arenito         49.0        3168.8532        31.2602        2.5913        59.1216        28.6661
arenito         49.0        3168.7008        35.3775        2.5816        59.8230        28.4158
arenito         49.0        3168.5484        36.3675        2.5613        60.3609        28.0798
arenito         49.0        3168.3960        36.0709        2.5482        60.9051        27.7500
arenito         49.0        3168.2436        36.1742        2.5401        61.6837        27.6639
arenito         49.0        3168.0912        36.7359        2.5439        62.1743        27.3260
arenito         49.0        3167.9388        37.6308        2.5361        62.6305        26.9121
arenito         49.0        3167.7864        37.6216        2.5290        62.7110        26.5730
arenito         49.0        3167.6340        35.7229        2.5368        61.9955        26.1611
arenito         49.0        3167.4816        32.2787        2.5506        60.8672        25.8204
arenito         49.0        3167.3292        29.1663        2.5569        59.9169        25.5904
arenito         49.0        3167.1768        27.2550        2.5668        59.4934        25.8408
arenito         49.0        3167.0244        25.6480        2.5652        59.6057        26.1833
arenito         49.0        3166.8720        24.3270        2.5723        59.9075        26.5923
arenito         49.0        3166.7196        23.8541        2.5780        59.9275        26.8427
arenito         49.0        3166.5672        23.7419        2.5765        59.6947        27.0935
arenito         49.0        3166.4148        23.1579        2.5763        59.5112        27.3444
arenito         49.0        3166.2624        22.1631        2.5838        59.4183        27.6901
arenito         49.0        3166.1100        21.8917        2.5881        59.3787        28.1909
arenito         49.0        3165.9576        23.5681        2.5850        59.8614        28.5963
arenito         49.0        3165.8052        27.0720        2.5819        60.6075        28.8469
arenito         49.0        3165.6528        30.7757        2.5751        61.1597        29.0973
arenito         49.0        3165.5004        33.3754        2.5681        61.4263        29.3482
arenito         49.0        3165.3480        35.2837        2.5628        61.6510        29.5000
arenito         49.0        3165.1956        39.4348        2.5724        61.8770        29.4003
